Ideal_Sum	Received_Signal
301.892935030746	266.408901645313
304.862840037337	286.311206125999
299.473548659279	326.67413728417
294.202017626033	271.575410793695
295.649675177389	354.906191226402
301.25288838062	277.685287174424
293.294156028856	318.831376828325
301.094701417694	291.545103462048
295.380450233602	256.416044457896
297.163515433636	318.964041197518
296.367759635437	252.299213942434
295.697766944229	256.027660054687
294.101991278544	302.342189718649
291.842508712659	284.571580006684
299.628212462875	294.061999924314
291.865405703196	281.801528006046
295.823247120514	295.841129480235
301.031291020135	331.024661147244
297.633224646332	282.934667285147
295.573014331207	261.890295853125
297.287788755498	339.796175414407
290.867613249186	319.546781580185
297.065203819833	221.153019345417
297.617268145737	333.093528881051
297.751767060267	289.972059295516
299.879506621022	321.014251238711
292.591302889923	320.539357292333
294.005962643206	315.830580099551
296.356007727213	253.939535710471
294.793099876959	372.878402415631
292.765491751965	307.166193601018
300.760999725017	291.264800171259
296.426294747953	358.544315746996
293.377065198189	284.370508649918
298.154210004461	275.847798426392
296.46588035961	312.225019878269
295.542048857558	338.472417354042
297.750527125161	308.067166552979
299.554259635328	283.201838093856
294.328401190125	326.189836108426
300.173086750879	350.180308371276
294.208026243645	324.890547252866
296.166675659537	336.064685485843
296.948716257506	296.676705527173
300.689067842356	341.356897642071
297.528042223959	255.673731229519
294.743996862506	319.610416532368
298.466819819462	238.301555577398
294.066922249145	285.47621082252
297.393936285968	294.060049077709
298.6347498003	250.266021965392
302.377013453541	276.926432846026
296.196572160692	294.026318041017
292.744024885991	286.681845966646
304.43118489068	328.661971420597
298.938585488882	326.26588350415
302.691583776163	276.865327545903
293.128009699032	266.368130366406
289.488319432547	329.136835102986
294.903640060978	320.277180200793
295.989025856421	311.373711274689
300.084420674158	293.590525986842
296.496283821573	343.135770711339
296.831860859153	314.623719224994
290.836063421794	304.421982979443
298.471663967403	269.897816501665
286.65358043865	274.045781668027
295.486941795733	292.407392061889
296.945955276276	280.985595198133
298.418289984378	324.647757668103
296.966498855631	317.608145930524
296.28855533141	227.29202690272
299.26675614882	317.66126373954
