SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-20	38.944766532731	37.1712102846992	36.4033766151189	36.0592776454434	36.8433450040503	37.7281180986094	38.3235724389348	37.6625558436202	36.3737486512062	35.6582876380787	38.0262197609563	36.515140136327	38.1985230373899	36.515169275674	36.2259266350362	36.0704639335898	37.8699984670486	37.3025095614669	36.7686411536245	36.2164571543872	37.9763128157083
-19	719.47517742153	688.392775244137	728.645403738812	816.881555909161	878.479634477861	869.952885673274	865.893118251449	856.332786423401	844.909295786692	819.157054949983	862.371112173481	855.80315162139	849.922434587427	836.745753254819	850.488799975938	846.090478318078	862.717300582231	825.660701181975	858.45241073706	871.118051355319	852.87047730004
-18	2652.18664993285	2702.55484603327	2820.47475835786	2976.73986964884	3172.51022772251	3198.58875602165	3190.27016034638	3128.86763954298	3099.41044499338	3053.81953871016	3103.20179959425	3154.4064510637	3198.8816024683	3156.01840716827	3095.89333593264	3094.50665869019	3085.75032574473	3138.60103340763	3083.23320605369	3131.08157679042	3140.74858559528
-17	6021.88755982714	5994.57698872511	6206.70416803718	6569.73350403605	6965.37389139679	7044.58953773577	6973.38266853969	6918.33772367728	6759.27433478153	6767.51967569774	6902.0512893553	6842.48282738702	6905.07072280793	6892.69094827631	6836.86163873963	6755.79399338244	6777.03127381112	6992.87260518921	6853.56754139334	6846.13619321621	6900.30267859341
-16	10588.7429764501	10544.2889244661	10882.9967057559	11599.2548475635	12156.5766557241	12345.0165338175	12344.7789043605	12149.8343306215	11899.4124913044	11859.8333509723	11878.4601785088	12074.686291521	12097.3443039625	12135.6122790841	12088.8561029311	11970.785549252	11892.004026391	12034.0386862359	12138.706229711	12032.3674607002	12141.2568158287
-15	16478.7440688391	16426.0037173868	17112.1781728847	18075.640233782	18819.7586273094	19033.6997289809	18920.2122104276	18565.9745478736	18525.4593607608	18502.6661002634	18776.7165289045	18684.7783087168	18733.9810421141	18697.1379600843	18552.7206137411	18431.6070703328	18613.3330357975	18680.0158229006	18826.8101698865	18681.4011922528	18601.4868799773
-14	23927.775667731	23687.0438167994	24551.5978263961	25860.5284346419	26936.9824844755	27220.5964557306	27240.2837957909	26616.870705335	26539.054168911	26364.4059616286	26677.9104873286	27004.4839075649	26947.568073317	26718.5652061053	26292.559181358	26584.2782951559	26808.2137358144	26467.5892033085	26824.0283708752	27041.8800159566	26757.8889322405
-13	32198.5174918643	31931.7749159879	33496.2340113066	34985.8263451963	36480.7815165834	36945.720214061	36568.9606078878	36172.8312314063	35988.685234394	35836.7997512407	36385.3294368039	36347.0512958177	36630.0125232071	36240.6132401404	36093.5427142181	35962.5981543321	36148.4535488281	36144.1554015654	36266.2465457876	36386.882912983	36018.495783712
-12	42127.0607179616	41825.0700863668	43386.7717423903	45535.1325785911	47821.2008120658	48213.1151812667	47606.8605520094	47013.6220934937	47043.460831403	46395.4509548813	46942.8715656231	47614.4580851713	47329.3388698399	47156.2160161982	47102.8866272801	47052.8427740731	47141.9232574521	46963.6322673724	47473.6540934403	47525.0194561978	47231.7237224262
-11	53036.7833336527	52927.6837529562	55039.0031632347	57692.0693160116	60004.2523719741	61015.5151134931	60304.04435984	59448.6037457008	58264.8273136188	58787.4426709908	59135.1038938533	59721.3296005451	59630.763163251	59522.4435264739	59318.1298332629	59201.1484024053	59654.8160777999	59558.2183983887	59781.8375200973	59634.6385997468	59846.9500676668
-10	65317.6861255135	65571.8669859995	68193.583273416	71543.2842568839	73877.9083302004	74779.0436924549	74836.1712509619	73550.0946630824	72262.3253481366	72505.4661942785	73346.7961412356	73472.3753443503	73812.9836390055	73423.1713703067	73115.4833382615	73140.9545912941	73096.0611388815	73562.4193980369	73650.4114341883	73481.2930447391	73346.2659873083
-9	79153.2445601024	79373.8350490307	81719.7730561575	86039.0101403327	89253.9310318538	90369.2506805091	89814.4230391751	88379.0541111141	87776.9885038179	87485.5184377578	88422.681230521	89019.9963060249	89597.7048060398	88975.7050632411	88238.9186843821	88082.4961260488	88137.3750478985	88756.0126328847	89227.6028426243	89159.3213220449	88846.7711661639
-8	94219.0614180879	93878.0156409866	97369.8722385265	102481.849833197	105685.175627935	107513.670243902	106614.419880276	105187.514411931	104182.924874006	104448.247602663	104956.779549402	105704.057985021	105937.070993887	105914.40685916	105297.970671786	104874.612260986	104935.705189647	105265.740312563	105507.931891863	106274.681077538	105808.515427323
-7	110838.780011057	110280.401190084	114555.060579822	120263.103113362	124679.497736123	126500.042977655	125272.205296535	123345.569885012	122273.096165977	122200.293066662	123289.276080214	124045.17143615	124338.666936344	123712.452305235	123596.870049113	122862.081978585	122984.189544802	123293.819623346	123751.662175046	123832.881781989	124191.697677599
-6	128439.512053639	128140.632382007	132388.831037308	139192.183350519	144321.755888939	145850.493104845	145092.36334472	143132.32790527	141782.604850212	141780.085192972	143378.542879067	144164.96651852	144228.596068035	143261.807457625	143003.632979658	142323.849484866	143027.464819932	143104.786172003	143717.208632752	143486.73372785	143622.279167608
-5	147381.540063811	146705.412344137	152500.64139693	159842.62738182	165583.40664601	167570.560533409	166792.030862071	164316.374231979	162652.402291502	162309.805193546	163818.35732529	164814.313203494	165454.579913441	164432.278492883	164224.327157643	163688.479267955	163118.248342215	164110.918763006	164667.29730257	164597.324218432	164736.224601579
-4	167837.083758177	166975.46881478	173321.819542581	182236.188040845	188745.093213392	190877.698136408	189449.394582205	186037.917708654	184561.951763317	184781.098511333	186478.548307586	187847.202278795	188707.197579831	186965.260672975	186980.993838422	186100.476807034	186210.526212284	186536.647585718	188013.031595558	187938.160433877	187059.64855912
-3	189635.770587387	188570.24826015	195887.595446366	205318.430618107	212780.033013099	215118.27211219	213630.301349103	210552.024436685	208620.08922214	209036.335995363	210275.74904398	212385.295367594	212923.516269365	211403.595514566	210483.640206209	209409.8966721	210185.980528529	210560.55433695	211811.15820493	211769.09802983	210913.301523585
-2	212281.09853039	211428.114431956	219850.239888728	230530.872327811	238095.129209812	240844.632545837	239196.424259832	236567.382736179	234216.752784224	234294.787870791	235840.280468475	236928.708885978	238217.160122608	237252.482309746	236060.667257298	235384.875131961	235119.360155809	236449.156874296	236546.041947052	237459.278787554	236483.759046924
