SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-1	236729.21490173	235896.472044554	244317.066675517	256082.21641288	265199.867584136	268747.70713064	266959.295086462	263435.687899885	260629.012486625	260992.769026211	262589.485621593	264958.314920712	265462.222490478	264208.805364602	262828.491345503	262106.317517309	262069.268134617	263543.766913087	264110.937613659	264500.377035297	263529.816510435
0	262116.420772828	261235.020157088	270221.718320604	284091.359080445	293557.260510572	297350.736093712	296141.781289081	291418.690160286	289145.837857069	288603.581621441	291206.542587115	292931.225442992	293984.471884272	293115.909788002	290807.573464368	290335.647541225	290808.673687959	291588.05261947	292357.899938196	293189.125233608	292428.16115749
1	289014.581404913	288366.788216738	298813.188246133	312707.477357992	324052.26367397	328284.435694701	326300.864178517	321539.061748059	318530.874218246	318296.646469021	320985.60812598	323238.582045313	324056.713971653	322441.95664468	321370.589987272	320004.336613845	319909.229573723	321476.220124188	322489.079721181	322874.29138284	322452.119438103
2	317178.970790121	316477.530656937	327928.597273228	343683.454539454	355477.174116682	359981.304499955	357810.974966705	352569.291080197	349737.058219483	349236.231462454	351899.532719903	354586.003926245	355141.186978788	354112.2528411	352202.073640138	350956.599957443	351421.104563641	352799.646552605	353902.314407765	354307.980243057	353171.24280549
3	346693.863881296	345490.318315411	358282.142425334	375488.966173459	388854.997714983	393972.743097642	391295.66726674	385452.102149582	382094.423214005	381913.373420611	384988.753298087	387276.281294385	388215.432584225	387171.631855714	385149.053270792	383721.136295852	384115.938981863	385981.144188295	386982.453814511	387222.24205132	385859.828070278
4	377111.712231843	376314.341371059	389739.99699758	408761.039501338	423196.262373882	428266.111106553	425710.127726996	419632.341960007	416173.55542781	415936.995525381	419147.72144813	422000.164092913	422968.640162873	421256.029738062	419575.592254314	418088.537420551	418296.352143183	419971.726236679	421176.354426967	421736.891993585	420179.314944276
5	409985.489769732	408105.755971967	423721.723279171	443617.989708398	459078.857864708	464891.190576895	461872.580807972	455533.407577028	451266.636015444	450978.172524789	454537.987168402	457729.24996796	458554.393898974	456949.507464068	454514.286547442	453775.769235755	453781.174888252	456047.88669638	457453.640711044	457397.545587143	455744.214258664
6	443304.434590966	441927.59028709	458006.964202258	479770.296292886	496559.754430032	502402.537382174	499468.366972704	492536.12719772	488361.469960646	488079.139312871	491614.320527813	495278.07666436	496508.158400469	494231.871727936	492179.554988983	490106.271917269	490690.238701435	492887.30577343	494581.175884844	494952.788631856	493205.158031943
7	478133.237903484	476561.392834409	493905.933793848	517159.638073755	535658.92099766	541772.267105142	538684.304089271	530840.189867803	526175.739762404	526529.530822218	529986.614489783	533737.473351899	535331.694107225	532896.76196686	530480.05869535	528995.051529139	529592.64522806	531688.781607099	533074.876962417	533690.461634576	531944.883969598
8	514389.302083672	512566.115862435	531390.87300918	556575.299955195	576048.577000444	582855.762559195	579454.134668047	571323.758666683	566058.651960084	566063.746074438	570181.615994169	573942.549851668	575630.913805878	573274.086823295	570742.379927813	568763.307128038	569142.576090646	571993.792699885	573545.026901855	573985.357241978	572238.665910947
9	551802.583633633	549853.325375513	570015.019759556	597203.835602747	618142.427228782	625478.643221889	621338.594745461	612882.048448071	606889.274256155	606988.640054903	611280.194688165	615355.646242792	617414.849640945	614819.433291346	612231.432717935	609926.074933748	610697.462163703	612898.966694533	615032.042281081	615869.837016403	613653.823533244
10	590470.647034363	588606.095036564	609931.824594312	638791.414443243	661185.937820266	669332.282270318	665284.477780175	655284.696113336	649991.186447859	649674.102695696	654215.214536768	659021.572020563	660614.195647867	657983.544334547	654782.349147423	653035.775609104	653185.96015958	656162.743476772	658256.356112205	659121.813671986	656751.505261696
11	630457.349646506	628496.416021975	651613.97514103	682083.782178712	706025.06228992	714600.847744364	710022.986894954	700029.461259378	693634.755814477	693874.467199058	698826.588641452	703796.820826716	705296.075648657	702476.61764732	699529.584723982	696888.09368612	697589.210937153	700605.717752707	702485.040352081	703549.605804526	701380.926076191
12	672065.783365629	669604.1309626	693927.551752489	726584.741076597	752142.824838046	761186.513404987	756653.431132514	746190.186362648	739459.369106499	739074.354008615	744326.339159063	750156.944869286	751204.537989031	748930.378421444	745195.864316699	742829.606360575	743492.104570832	746349.591686654	749183.562818135	749720.37563293	747228.083477065
13	714612.065396755	712542.806276853	737957.110136075	773059.231712217	799996.426429974	809745.094291419	804762.910749655	793426.491346194	786253.680424651	786093.049296868	791816.639460922	797596.055827519	799330.162920967	796029.108089265	792583.523286106	789977.62586844	790341.517431681	793788.042636983	796533.17316536	797318.855225831	794614.537059179
14	758839.906490811	756388.621911305	783488.592950954	820698.569210474	849172.138654906	859659.733697243	854147.738292828	842237.967061604	834705.33951874	834408.053335009	840253.444042	846433.489461759	848450.259674368	844934.14659369	841114.323405074	838304.824755648	839293.539717274	842671.073935079	845207.334238917	846154.029953107	843729.086325168
15	804233.1350135	801231.442658221	830254.887564581	869729.767754485	899997.7770933	910678.155811499	905119.574005072	892514.76338694	884264.148745725	884273.492131837	890630.90534264	897196.504341751	898807.933703883	895628.632146522	891497.97111168	888523.587792066	889361.960532784	893074.840792342	895583.171295132	897056.973208959	893854.59402397
16	850690.799407027	848128.090001814	878515.765134533	920048.057769458	951981.005266786	963415.128529918	957710.338721625	944169.656919221	935757.008360414	935668.686033858	942157.92619933	949336.282315906	951343.129863792	947658.486812883	943096.356616338	940082.528872691	940871.788603013	944781.542594816	948024.784613589	948659.421269817	945738.964183773
17	898808.565888944	895763.831086928	927872.761176316	971856.025929799	1005541.67357291	1018025.66347655	1011691.13041046	997091.847750731	988206.38708706	988221.967037739	995314.296488218	1002557.48095629	1004848.24634134	1000940.52726633	996098.781282255	992914.020551004	994059.061535792	997890.315496351	1001094.83627476	1002184.56279361	999074.933248128
18	947877.687169111	944885.555642454	978958.455214817	1025057.26131127	1060541.67002217	1073571.11874902	1066850.01077726	1051770.85203652	1042312.60147481	1042576.6932859	1050049.8955929	1057522.88304539	1059698.87857302	1055758.19246031	1050881.97088446	1047379.96452815	1048596.79808515	1052651.90394641	1055793.23135096	1057063.41748322	1053782.19715849
19	998694.696870354	995415.259281223	1031236.49378235	1079810.35839574	1117079.19200745	1130757.51452517	1124038.72930309	1108038.229406	1098203.2201814	1098054.85297657	1105885.59847292	1113961.41153351	1116327.98480697	1112087.78902929	1106617.30975753	1103139.15498603	1104377.12905721	1108607.06405459	1112229.93389355	1113475.88420061	1110056.97959041
20	1050581.54255037	1047134.38680034	1084772.75439012	1135941.09409088	1175101.91928918	1189668.32874689	1182179.83954102	1165505.86400637	1155205.37522781	1155063.2061261	1163236.31683828	1171749.116071	1174244.77124528	1169665.40704054	1164416.74673256	1160549.27546481	1161545.05937474	1166280.77572544	1169929.947736	1171218.2588981	1167648.45001427
