SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-20	34852.2869621953	35560.1911916302	35345.2339253114	38200.3437222372	37577.4825564431	35158.4801762204	35029.8879534492	36964.065517231	36580.811699671	36863.5412933344	37090.5046613115	35905.5072263802	36186.4572595071	36548.0012468199	35561.9488270678	36069.9290876398	37030.7239747853	36755.1443813145	38144.6519694145	38256.4802970332	35967.5381969955
-19	116493.069094882	111488.573749196	112132.164706649	117610.658684562	114628.09138271	118743.611769014	114237.513368675	119913.976690789	119101.363684217	113166.738328355	115870.153551761	111299.341208516	112630.427987116	116362.749243721	115736.155860405	120731.118468845	115539.203846427	117238.994430044	112011.361395285	114532.140296256	114511.85064852
-18	203954.865192587	198272.950794665	220494.534721581	201943.724615591	204101.284154299	207408.699056378	202108.54032202	206631.597917297	207449.537849641	209099.034190327	210834.436695542	211081.61986002	200312.507658391	209304.544012733	209223.437344192	208579.824186744	207155.213491073	216581.025540228	209842.140691419	205734.572159551	223238.36500612
-17	281950.317473412	301832.835184385	290052.792266549	287926.184552063	302173.719130697	321007.58122963	291239.766512035	303254.945528925	287223.9450375	293408.365017478	305709.617650786	302404.055279011	299150.849951447	304645.429651864	296080.534131585	305432.678994034	307136.948360614	304061.160150705	305095.463142224	303846.318388661	296959.919480355
-16	368477.768216775	359565.454705042	348731.781538129	394871.496915435	367193.376265369	383088.253044526	385261.827905686	366020.261735161	357178.471120041	381231.580054516	373395.446888743	366356.860535347	376822.238587419	353373.091102951	375533.919448265	364770.035591857	373595.365524118	373765.18653632	380901.572589233	382680.14357559	364623.563428919
-15	425379.700541968	415756.163823977	440523.762550351	422181.137596095	422204.44259342	424079.699016792	438518.639728735	461825.086798143	418142.103123174	422708.571235371	427334.941356949	438719.646479198	436644.933813462	413245.895902132	416520.030788102	425575.178279409	439094.198281022	429829.06170211	426502.241342008	414459.443420753	430587.27702516
-14	452718.257936492	451141.304584436	479379.078042973	474329.951784254	480957.18065986	477365.090378503	453036.067759116	466968.354066079	454672.524872742	477702.371724757	481213.780871473	460580.515549526	468817.046033698	492531.960553086	462872.496820448	478188.850491246	468189.021984334	484422.674420991	464100.042249335	491666.22334125	471484.658651301
-13	491893.924501861	496575.22237248	474643.311929168	510622.278713409	505577.167396246	515982.528867234	490891.164485254	494641.95343872	487521.993365802	515531.027202957	485190.951291915	490529.15160175	504903.726210225	485235.828186489	523025.203805391	504789.848950642	501081.274192768	489879.691513939	507143.40997603	519833.543971377	515631.291293873
-12	492505.639536992	475876.078178344	514071.991210746	501890.68104729	524589.967350281	519460.575043457	517324.565551045	498629.36479535	491684.944135275	531027.966304919	507155.793666704	506864.205036915	515864.356021615	514574.758401598	512262.56758152	537124.5244301	532481.323499046	506817.781174254	506757.282849993	519772.08740941	517401.156438972
-11	515124.521106063	530144.493505026	523275.818784804	506162.9392748	513297.405614224	526663.67181797	530202.022419872	506811.59278869	510072.469321805	494113.65495272	506187.318100837	520495.480149005	496565.764321312	526308.366523193	513816.830019332	533567.928714999	510071.174076398	511138.274933851	510293.217558746	513150.198168513	522105.80147973
-10	492823.245978757	481273.605247961	503221.160827198	512824.860708458	499690.785781391	524348.641997521	504569.618367534	509823.617912205	511570.232737966	519288.029995548	495612.009662509	517595.026970898	504259.0705151	508822.665172773	520100.952360195	495631.131619649	500606.894114583	522494.678563803	513023.23807425	518746.633809391	514039.190746817
-9	492277.368387497	483598.299399959	528434.022410983	511454.532887784	508345.229359504	510908.203836088	487043.332398503	489109.124026423	515294.986822647	508574.696246036	509097.301838013	508716.161373148	513122.490616437	500900.126322071	518040.386449953	492076.507614799	518065.040051422	521064.225614935	499138.853419932	508915.853234555	516957.306469389
-8	442091.536456835	476597.871296582	489249.338081603	497743.491411074	495257.31223035	476549.281595799	486224.757440369	505962.950260904	488363.710720613	490956.458661486	494804.719292442	498420.478425123	470855.915062529	486304.421594857	497498.276878618	512830.21918036	491478.552363648	477067.603523732	490079.726543944	489159.545308771	500482.276044958
-7	468194.676590441	459172.779925176	469344.809398403	485696.834535407	489011.171154637	491327.485352316	480982.701783052	478308.846930219	484342.102631929	495572.918335308	459849.966185168	472909.729627877	485624.930617606	485143.509043266	487137.757053665	467367.047713631	485561.799146453	487882.292275498	475110.536538025	489192.2599428	446685.601602822
-6	461257.554914955	433143.103103295	466012.573403158	459895.322369071	464231.463252293	470766.77483658	447222.489877496	458760.839775001	459817.066324587	447654.387000505	470533.321338804	466508.071470822	466228.89905851	458992.65056425	468052.21657972	461319.85812517	472674.459867773	472491.215257133	474366.859681255	428375.233578605	499369.010473878
-5	446452.843543254	428835.65017952	468352.984721206	466208.765082603	465006.407540239	444800.258946962	444975.125292256	461997.967318846	453241.238615647	449364.412976862	463569.214798079	472369.583526642	460586.697587082	462694.254814622	441152.735156437	469360.158167362	475687.764121845	455917.696623487	448423.472322627	476399.066787109	473039.771886985
-4	422606.740996884	423664.53422022	440322.876631789	457418.806656159	476013.951744038	441541.391574069	455195.32571674	452878.776282852	417070.397539962	468821.759672653	440752.937286498	452533.33039966	457226.51882963	472154.059315396	445384.727942754	445034.61853555	441174.523993152	446335.776701753	446032.650710113	437146.771450185	457924.304104168
-3	419455.465486595	431529.924113347	441488.136980371	453577.965006346	443846.949574993	434552.848260432	430021.279871045	427190.777566802	452736.921175169	454022.296878276	425003.406715416	455788.238772722	451439.327654222	432090.429405623	441560.346262135	440737.843746122	433795.344473157	438020.972657767	445636.664446798	451155.293601975	455046.141087744
-2	425011.240632574	443301.782359541	429969.004687196	437938.881504142	443418.04508463	440573.396954164	442301.665957029	441317.745435203	447387.726640972	466317.211580181	474002.633316097	441446.549456384	441507.149681721	435007.772417322	456444.319928868	440019.241975981	431732.534851991	445541.991736691	452017.293508273	438761.84671863	449612.204414609
