SNR_dB	aleph_array	mse_results
-20	0	2.397228e+02
-20	0.05	2.260578e+02
-20	0.1	2.320767e+02
-20	0.15	2.235586e+02
-20	0.2	2.304763e+02
-20	0.25	2.277037e+02
-20	0.3	2.364427e+02
-20	0.35	2.396436e+02
-20	0.4	2.383109e+02
-20	0.45	2.254706e+02
-20	0.5	2.348461e+02
-20	0.55	2.435383e+02
-20	0.6	2.608758e+02
-20	0.65	2.579947e+02
-20	0.7	2.488959e+02
-20	0.75	2.428664e+02
-20	0.8	2.266665e+02
-20	0.85	2.401919e+02
-20	0.9	2.416506e+02
-20	0.95	2.477236e+02
-20	1	2.477069e+02

-19	0	1.774031e+02
-19	0.05	1.909743e+02
-19	0.1	1.632858e+02
-19	0.15	1.830474e+02
-19	0.2	1.789351e+02
-19	0.25	1.892519e+02
-19	0.3	1.857403e+02
-19	0.35	1.868268e+02
-19	0.4	1.839825e+02
-19	0.45	1.825588e+02
-19	0.5	1.930851e+02
-19	0.55	1.884427e+02
-19	0.6	1.960568e+02
-19	0.65	1.985120e+02
-19	0.7	1.948232e+02
-19	0.75	1.904999e+02
-19	0.8	2.087667e+02
-19	0.85	2.110472e+02
-19	0.9	1.837641e+02
-19	0.95	1.897331e+02
-19	1	1.933191e+02

-18	0	1.448050e+02
-18	0.05	1.436345e+02
-18	0.1	1.666489e+02
-18	0.15	1.426855e+02
-18	0.2	1.539142e+02
-18	0.25	1.439605e+02
-18	0.3	1.550127e+02
-18	0.35	1.542405e+02
-18	0.4	1.530286e+02
-18	0.45	1.602121e+02
-18	0.5	1.535568e+02
-18	0.55	1.435963e+02
-18	0.6	1.599491e+02
-18	0.65	1.633068e+02
-18	0.7	1.556073e+02
-18	0.75	1.581584e+02
-18	0.8	1.498792e+02
-18	0.85	1.624717e+02
-18	0.9	1.537302e+02
-18	0.95	1.580980e+02
-18	1	1.619416e+02

-17	0	1.164473e+02
-17	0.05	1.275485e+02
-17	0.1	1.235851e+02
-17	0.15	1.274577e+02
-17	0.2	1.131128e+02
-17	0.25	1.301022e+02
-17	0.3	1.110136e+02
-17	0.35	1.248597e+02
-17	0.4	1.161000e+02
-17	0.45	1.243694e+02
-17	0.5	1.218901e+02
-17	0.55	1.213645e+02
-17	0.6	1.321390e+02
-17	0.65	1.292657e+02
-17	0.7	1.407347e+02
-17	0.75	1.162266e+02
-17	0.8	1.159328e+02
-17	0.85	1.299669e+02
-17	0.9	1.262434e+02
-17	0.95	1.297332e+02
-17	1	1.226458e+02

-16	0	9.743891e+01
-16	0.05	9.750331e+01
-16	0.1	9.969809e+01
-16	0.15	1.005422e+02
-16	0.2	1.030402e+02
-16	0.25	9.827681e+01
-16	0.3	9.560302e+01
-16	0.35	1.001678e+02
-16	0.4	9.303783e+01
-16	0.45	9.683364e+01
-16	0.5	9.709773e+01
-16	0.55	1.019444e+02
-16	0.6	9.648560e+01
-16	0.65	9.734902e+01
-16	0.7	9.415221e+01
-16	0.75	9.372021e+01
-16	0.8	1.027878e+02
-16	0.85	9.695550e+01
-16	0.9	9.861038e+01
-16	0.95	9.352248e+01
-16	1	1.007851e+02

-15	0	7.675115e+01
-15	0.05	8.599158e+01
-15	0.1	8.563318e+01
-15	0.15	8.393346e+01
-15	0.2	7.754694e+01
-15	0.25	8.336013e+01
-15	0.3	7.319864e+01
-15	0.35	7.872390e+01
-15	0.4	7.946422e+01
-15	0.45	7.981845e+01
-15	0.5	6.914721e+01
-15	0.55	8.022450e+01
-15	0.6	7.404226e+01
-15	0.65	7.821099e+01
-15	0.7	7.916768e+01
-15	0.75	7.686932e+01
-15	0.8	8.007111e+01
-15	0.85	7.942958e+01
-15	0.9	7.988779e+01
-15	0.95	8.158203e+01
-15	1	7.569379e+01

-14	0	6.187135e+01
-14	0.05	6.816354e+01
-14	0.1	6.794732e+01
-14	0.15	6.574784e+01
-14	0.2	6.657726e+01
-14	0.25	6.474207e+01
-14	0.3	5.996905e+01
-14	0.35	6.385877e+01
-14	0.4	5.935161e+01
-14	0.45	6.257174e+01
-14	0.5	6.427106e+01
-14	0.55	6.093099e+01
-14	0.6	6.230522e+01
-14	0.65	5.945236e+01
-14	0.7	6.224543e+01
-14	0.75	6.060983e+01
-14	0.8	6.274097e+01
-14	0.85	6.452764e+01
-14	0.9	6.287776e+01
-14	0.95	6.214464e+01
-14	1	5.669591e+01

-13	0	5.368081e+01
-13	0.05	5.396419e+01
-13	0.1	5.553681e+01
-13	0.15	5.655503e+01
-13	0.2	5.342892e+01
-13	0.25	5.509897e+01
-13	0.3	4.818719e+01
-13	0.35	5.308423e+01
-13	0.4	5.002384e+01
-13	0.45	4.712662e+01
-13	0.5	4.760073e+01
-13	0.55	4.710246e+01
-13	0.6	5.278358e+01
-13	0.65	4.867210e+01
-13	0.7	4.850406e+01
-13	0.75	5.167579e+01
-13	0.8	5.217054e+01
-13	0.85	5.079101e+01
-13	0.9	5.467424e+01
-13	0.95	5.183555e+01
-13	1	4.238374e+01

-12	0	4.872904e+01
-12	0.05	5.130927e+01
-12	0.1	4.876729e+01
-12	0.15	4.676699e+01
-12	0.2	4.693362e+01
-12	0.25	4.891137e+01
-12	0.3	4.007051e+01
-12	0.35	4.361716e+01
-12	0.4	4.081526e+01
-12	0.45	3.663173e+01
-12	0.5	3.535747e+01
-12	0.55	3.844712e+01
-12	0.6	4.084084e+01
-12	0.65	3.760794e+01
-12	0.7	4.158496e+01
-12	0.75	3.976348e+01
-12	0.8	4.079640e+01
-12	0.85	4.006502e+01
-12	0.9	3.840453e+01
-12	0.95	4.079698e+01
-12	1	3.882040e+01

-11	0	4.041074e+01
-11	0.05	4.212547e+01
-11	0.1	4.332475e+01
-11	0.15	4.060797e+01
-11	0.2	3.862207e+01
-11	0.25	3.618165e+01
-11	0.3	3.798876e+01
-11	0.35	3.133770e+01
-11	0.4	3.058349e+01
-11	0.45	3.294292e+01
-11	0.5	3.110218e+01
-11	0.55	2.962174e+01
-11	0.6	3.166026e+01
-11	0.65	3.024001e+01
-11	0.7	2.962787e+01
-11	0.75	3.179069e+01
-11	0.8	3.471301e+01
-11	0.85	3.228358e+01
-11	0.9	3.312137e+01
-11	0.95	3.093671e+01
-11	1	3.075125e+01

-10	0	3.503670e+01
-10	0.05	3.795899e+01
-10	0.1	3.606421e+01
-10	0.15	3.781691e+01
-10	0.2	3.458950e+01
-10	0.25	3.137283e+01
-10	0.3	2.916277e+01
-10	0.35	2.731008e+01
-10	0.4	2.653694e+01
-10	0.45	2.652848e+01
-10	0.5	2.618711e+01
-10	0.55	2.485078e+01
-10	0.6	2.508869e+01
-10	0.65	2.561760e+01
-10	0.7	2.576571e+01
-10	0.75	2.561006e+01
-10	0.8	2.483472e+01
-10	0.85	2.656958e+01
-10	0.9	2.519523e+01
-10	0.95	2.541346e+01
-10	1	2.419426e+01

-9	0	3.122340e+01
-9	0.05	2.998386e+01
-9	0.1	3.320000e+01
-9	0.15	3.356094e+01
-9	0.2	2.989702e+01
-9	0.25	2.759755e+01
-9	0.3	2.409196e+01
-9	0.35	2.268563e+01
-9	0.4	2.032576e+01
-9	0.45	1.961716e+01
-9	0.5	2.008758e+01
-9	0.55	2.001919e+01
-9	0.6	2.057435e+01
-9	0.65	2.085331e+01
-9	0.7	2.023674e+01
-9	0.75	2.109144e+01
-9	0.8	2.322780e+01
-9	0.85	2.209126e+01
-9	0.9	2.158944e+01
-9	0.95	1.833785e+01
-9	1	2.261811e+01

-8	0	2.999345e+01
-8	0.05	2.985653e+01
-8	0.1	2.931957e+01
-8	0.15	2.815943e+01
-8	0.2	2.655225e+01
-8	0.25	2.324937e+01
-8	0.3	2.236710e+01
-8	0.35	2.018477e+01
-8	0.4	1.683428e+01
-8	0.45	1.730909e+01
-8	0.5	1.541243e+01
-8	0.55	1.669673e+01
-8	0.6	1.658939e+01
-8	0.65	1.684949e+01
-8	0.7	1.632313e+01
-8	0.75	1.729334e+01
-8	0.8	1.667905e+01
-8	0.85	1.688406e+01
-8	0.9	1.670554e+01
-8	0.95	1.559314e+01
-8	1	1.616884e+01

-7	0	2.631248e+01
-7	0.05	2.752938e+01
-7	0.1	2.728575e+01
-7	0.15	2.570346e+01
-7	0.2	2.628447e+01
-7	0.25	2.098121e+01
-7	0.3	1.976268e+01
-7	0.35	1.711313e+01
-7	0.4	1.523716e+01
-7	0.45	1.383413e+01
-7	0.5	1.448388e+01
-7	0.55	1.229083e+01
-7	0.6	1.261320e+01
-7	0.65	1.339477e+01
-7	0.7	1.398424e+01
-7	0.75	1.351072e+01
-7	0.8	1.296358e+01
-7	0.85	1.271987e+01
-7	0.9	1.304279e+01
-7	0.95	1.327440e+01
-7	1	1.272922e+01

-6	0	2.412537e+01
-6	0.05	2.656898e+01
-6	0.1	2.626131e+01
-6	0.15	2.388288e+01
-6	0.2	2.136734e+01
-6	0.25	1.933713e+01
-6	0.3	1.559247e+01
-6	0.35	1.473543e+01
-6	0.4	1.315470e+01
-6	0.45	1.104822e+01
-6	0.5	1.081471e+01
-6	0.55	1.124392e+01
-6	0.6	1.064632e+01
-6	0.65	1.142136e+01
-6	0.7	1.094608e+01
-6	0.75	1.172002e+01
-6	0.8	1.134447e+01
-6	0.85	1.136490e+01
-6	0.9	1.116708e+01
-6	0.95	1.064977e+01
-6	1	1.072523e+01

-5	0	2.201303e+01
-5	0.05	2.252274e+01
-5	0.1	2.345914e+01
-5	0.15	2.258982e+01
-5	0.2	1.942831e+01
-5	0.25	1.655299e+01
-5	0.3	1.514212e+01
-5	0.35	1.167384e+01
-5	0.4	1.060105e+01
-5	0.45	9.906722e+00
-5	0.5	8.307255e+00
-5	0.55	8.160984e+00
-5	0.6	9.091527e+00
-5	0.65	8.881211e+00
-5	0.7	8.724185e+00
-5	0.75	9.595505e+00
-5	0.8	8.946432e+00
-5	0.85	9.339455e+00
-5	0.9	9.047083e+00
-5	0.95	8.649201e+00
-5	1	9.043174e+00

-4	0	1.997873e+01
-4	0.05	2.266467e+01
-4	0.1	2.374361e+01
-4	0.15	2.098496e+01
-4	0.2	1.835351e+01
-4	0.25	1.605605e+01
-4	0.3	1.396519e+01
-4	0.35	1.034951e+01
-4	0.4	9.011099e+00
-4	0.45	8.307306e+00
-4	0.5	7.463618e+00
-4	0.55	6.963388e+00
-4	0.6	7.587522e+00
-4	0.65	7.208789e+00
-4	0.7	7.673042e+00
-4	0.75	7.967021e+00
-4	0.8	7.555625e+00
-4	0.85	7.354683e+00
-4	0.9	7.723045e+00
-4	0.95	6.989619e+00
-4	1	6.769379e+00

-3	0	1.926078e+01
-3	0.05	2.072011e+01
-3	0.1	2.139498e+01
-3	0.15	1.971651e+01
-3	0.2	1.830065e+01
-3	0.25	1.576298e+01
-3	0.3	1.259169e+01
-3	0.35	9.811206e+00
-3	0.4	7.726596e+00
-3	0.45	6.245965e+00
-3	0.5	5.838667e+00
-3	0.55	6.044719e+00
-3	0.6	5.567840e+00
-3	0.65	5.651238e+00
-3	0.7	6.612392e+00
-3	0.75	6.768875e+00
-3	0.8	6.425309e+00
-3	0.85	6.424536e+00
-3	0.9	5.998181e+00
-3	0.95	6.197720e+00
-3	1	5.999152e+00

-2	0	1.869532e+01
-2	0.05	1.917165e+01
-2	0.1	1.992089e+01
-2	0.15	1.913577e+01
-2	0.2	1.692887e+01
-2	0.25	1.396432e+01
-2	0.3	1.159131e+01
-2	0.35	9.635174e+00
-2	0.4	7.141962e+00
-2	0.45	5.908859e+00
-2	0.5	5.260386e+00
-2	0.55	4.947247e+00
-2	0.6	4.918766e+00
-2	0.65	5.357154e+00
-2	0.7	5.648034e+00
-2	0.75	5.460347e+00
-2	0.8	5.759036e+00
-2	0.85	5.307354e+00
-2	0.9	4.843348e+00
-2	0.95	4.601503e+00
-2	1	4.644705e+00

-1	0	1.704259e+01
-1	0.05	1.975516e+01
-1	0.1	1.964955e+01
-1	0.15	1.805355e+01
-1	0.2	1.629417e+01
-1	0.25	1.391612e+01
-1	0.3	1.022211e+01
-1	0.35	8.311659e+00
-1	0.4	6.140456e+00
-1	0.45	5.050354e+00
-1	0.5	3.748387e+00
-1	0.55	3.784909e+00
-1	0.6	3.919325e+00
-1	0.65	4.124502e+00
-1	0.7	4.255347e+00
-1	0.75	4.316594e+00
-1	0.8	4.431819e+00
-1	0.85	4.463995e+00
-1	0.9	4.028457e+00
-1	0.95	3.970691e+00
-1	1	4.013454e+00

0	0	1.731007e+01
0	0.05	1.853517e+01
0	0.1	1.965647e+01
0	0.15	1.731276e+01
0	0.2	1.602985e+01
0	0.25	1.273906e+01
0	0.3	1.051707e+01
0	0.35	8.017631e+00
0	0.4	5.619114e+00
0	0.45	4.427269e+00
0	0.5	3.389686e+00
0	0.55	3.168109e+00
0	0.6	3.546847e+00
0	0.65	3.522568e+00
0	0.7	3.899778e+00
0	0.75	3.760220e+00
0	0.8	4.122632e+00
0	0.85	3.579694e+00
0	0.9	3.667739e+00
0	0.95	3.503239e+00
0	1	3.317793e+00

1	0	1.713486e+01
1	0.05	1.831208e+01
1	0.1	1.859921e+01
1	0.15	1.764312e+01
1	0.2	1.535825e+01
1	0.25	1.249978e+01
1	0.3	9.609201e+00
1	0.35	7.606290e+00
1	0.4	5.242839e+00
1	0.45	3.866474e+00
1	0.5	3.025670e+00
1	0.55	2.707525e+00
1	0.6	2.715445e+00
1	0.65	3.119539e+00
1	0.7	3.233118e+00
1	0.75	3.250122e+00
1	0.8	3.344803e+00
1	0.85	3.506374e+00
1	0.9	3.036458e+00
1	0.95	2.985750e+00
1	1	3.098134e+00

2	0	1.580945e+01
2	0.05	1.840420e+01
2	0.1	1.820225e+01
2	0.15	1.702466e+01
2	0.2	1.525384e+01
2	0.25	1.212485e+01
2	0.3	9.189036e+00
2	0.35	6.999529e+00
2	0.4	4.516826e+00
2	0.45	3.479256e+00
2	0.5	2.705758e+00
2	0.55	2.424477e+00
2	0.6	2.542867e+00
2	0.65	2.556333e+00
2	0.7	2.976104e+00
2	0.75	2.978607e+00
2	0.8	2.842985e+00
2	0.85	2.958908e+00
2	0.9	2.384486e+00
2	0.95	2.409137e+00
2	1	2.394978e+00

3	0	1.602550e+01
3	0.05	1.789080e+01
3	0.1	1.754279e+01
3	0.15	1.665065e+01
3	0.2	1.486554e+01
3	0.25	1.189917e+01
3	0.3	8.996109e+00
3	0.35	6.739946e+00
3	0.4	4.443448e+00
3	0.45	3.200791e+00
3	0.5	2.484876e+00
3	0.55	2.078558e+00
3	0.6	2.265438e+00
3	0.65	2.352141e+00
3	0.7	2.492953e+00
3	0.75	2.664968e+00
3	0.8	2.754964e+00
3	0.85	2.496016e+00
3	0.9	2.311317e+00
3	0.95	2.225514e+00
3	1	2.220801e+00

4	0	1.595512e+01
4	0.05	1.797278e+01
4	0.1	1.755349e+01
4	0.15	1.645609e+01
4	0.2	1.469946e+01
4	0.25	1.153991e+01
4	0.3	9.126268e+00
4	0.35	6.547680e+00
4	0.4	4.409780e+00
