SNR_dB	aleph_array	mse_results
-20	0	3.281898e+03
-20	0.05	3.129967e+03
-20	0.1	3.186438e+03
-20	0.15	3.241194e+03
-20	0.2	3.322023e+03
-20	0.25	3.367465e+03
-20	0.3	3.425888e+03
-20	0.35	3.304590e+03
-20	0.4	3.108454e+03
-20	0.45	3.285753e+03
-20	0.5	3.470100e+03
-20	0.55	3.570602e+03
-20	0.6	3.527764e+03
-20	0.65	3.826929e+03
-20	0.7	3.566761e+03
-20	0.75	3.773849e+03
-20	0.8	3.686086e+03
-20	0.85	3.977012e+03
-20	0.9	3.904240e+03
-20	0.95	3.585347e+03
-20	1	3.538804e+03

-19	0	2.350560e+03
-19	0.05	2.628125e+03
-19	0.1	2.401864e+03
-19	0.15	2.415172e+03
-19	0.2	2.384077e+03
-19	0.25	2.541835e+03
-19	0.3	2.474942e+03
-19	0.35	2.543473e+03
-19	0.4	2.786348e+03
-19	0.45	2.718006e+03
-19	0.5	2.758258e+03
-19	0.55	2.914952e+03
-19	0.6	2.866245e+03
-19	0.65	2.838549e+03
-19	0.7	2.897857e+03
-19	0.75	3.268005e+03
-19	0.8	3.047460e+03
-19	0.85	2.938464e+03
-19	0.9	3.097799e+03
-19	0.95	3.061802e+03
-19	1	2.788738e+03

-18	0	1.860448e+03
-18	0.05	1.954409e+03
-18	0.1	2.180376e+03
-18	0.15	2.000349e+03
-18	0.2	2.080330e+03
-18	0.25	2.241683e+03
-18	0.3	1.963009e+03
-18	0.35	2.144483e+03
-18	0.4	2.265919e+03
-18	0.45	2.201689e+03
-18	0.5	2.331428e+03
-18	0.55	2.465764e+03
-18	0.6	2.444408e+03
-18	0.65	2.370435e+03
-18	0.7	2.294492e+03
-18	0.75	2.551416e+03
-18	0.8	2.227104e+03
-18	0.85	2.517241e+03
-18	0.9	2.302780e+03
-18	0.95	2.145227e+03
-18	1	2.124836e+03

-17	0	1.528540e+03
-17	0.05	1.553546e+03
-17	0.1	1.663169e+03
-17	0.15	1.573776e+03
-17	0.2	1.508478e+03
-17	0.25	1.577317e+03
-17	0.3	1.676207e+03
-17	0.35	1.675040e+03
-17	0.4	1.672743e+03
-17	0.45	1.711812e+03
-17	0.5	1.775293e+03
-17	0.55	1.774421e+03
-17	0.6	1.928103e+03
-17	0.65	1.693617e+03
-17	0.7	1.799763e+03
-17	0.75	1.750978e+03
-17	0.8	1.930232e+03
-17	0.85	1.857713e+03
-17	0.9	1.968168e+03
-17	0.95	1.835239e+03
-17	1	1.971279e+03

-16	0	1.322917e+03
-16	0.05	1.219584e+03
-16	0.1	1.251202e+03
-16	0.15	1.322137e+03
-16	0.2	1.274923e+03
-16	0.25	1.345018e+03
-16	0.3	1.466373e+03
-16	0.35	1.330064e+03
-16	0.4	1.334833e+03
-16	0.45	1.485249e+03
-16	0.5	1.473657e+03
-16	0.55	1.386025e+03
-16	0.6	1.486773e+03
-16	0.65	1.516225e+03
-16	0.7	1.485875e+03
-16	0.75	1.430906e+03
-16	0.8	1.419653e+03
-16	0.85	1.311688e+03
-16	0.9	1.419038e+03
-16	0.95	1.435389e+03
-16	1	1.510682e+03

-15	0	9.427978e+02
-15	0.05	9.364890e+02
-15	0.1	1.010856e+03
-15	0.15	1.069636e+03
-15	0.2	1.017079e+03
-15	0.25	1.001763e+03
-15	0.3	1.099250e+03
-15	0.35	1.082774e+03
-15	0.4	1.086356e+03
-15	0.45	1.149525e+03
-15	0.5	1.138717e+03
-15	0.55	1.125642e+03
-15	0.6	1.236457e+03
-15	0.65	1.085210e+03
-15	0.7	1.185205e+03
-15	0.75	1.338798e+03
-15	0.8	1.130665e+03
-15	0.85	1.208090e+03
-15	0.9	1.158792e+03
-15	0.95	1.171758e+03
-15	1	1.277032e+03

-14	0	7.645479e+02
-14	0.05	7.872898e+02
-14	0.1	8.173061e+02
-14	0.15	8.032121e+02
-14	0.2	8.065858e+02
-14	0.25	7.932764e+02
-14	0.3	8.258448e+02
-14	0.35	8.405777e+02
-14	0.4	9.223932e+02
-14	0.45	9.510073e+02
-14	0.5	8.975973e+02
-14	0.55	8.990878e+02
-14	0.6	9.583242e+02
-14	0.65	9.432313e+02
-14	0.7	9.388760e+02
-14	0.75	9.550092e+02
-14	0.8	9.595279e+02
-14	0.85	9.427638e+02
-14	0.9	9.793443e+02
-14	0.95	9.128215e+02
-14	1	9.355715e+02

-13	0	6.725405e+02
-13	0.05	5.757820e+02
-13	0.1	6.664802e+02
-13	0.15	6.019844e+02
-13	0.2	6.164359e+02
-13	0.25	6.616328e+02
-13	0.3	6.118071e+02
-13	0.35	7.178662e+02
-13	0.4	6.771590e+02
-13	0.45	7.266575e+02
-13	0.5	6.907346e+02
-13	0.55	7.568024e+02
-13	0.6	7.525956e+02
-13	0.65	7.669027e+02
-13	0.7	8.006255e+02
-13	0.75	7.255986e+02
-13	0.8	7.146951e+02
-13	0.85	7.405684e+02
-13	0.9	7.635540e+02
-13	0.95	7.201122e+02
-13	1	7.188773e+02

-12	0	5.072727e+02
-12	0.05	5.075351e+02
-12	0.1	5.119725e+02
-12	0.15	5.007022e+02
-12	0.2	5.229272e+02
-12	0.25	5.251054e+02
-12	0.3	5.210323e+02
-12	0.35	5.505574e+02
-12	0.4	5.423875e+02
-12	0.45	5.012688e+02
-12	0.5	5.518943e+02
-12	0.55	5.621968e+02
-12	0.6	5.683066e+02
-12	0.65	5.937580e+02
-12	0.7	6.072256e+02
-12	0.75	5.958215e+02
-12	0.8	5.946049e+02
-12	0.85	6.712650e+02
-12	0.9	5.850717e+02
-12	0.95	5.621716e+02
-12	1	5.706142e+02

-11	0	4.360435e+02
-11	0.05	4.119778e+02
-11	0.1	4.159262e+02
-11	0.15	4.195434e+02
-11	0.2	3.649479e+02
-11	0.25	4.261723e+02
-11	0.3	4.181448e+02
-11	0.35	4.093197e+02
-11	0.4	4.249726e+02
-11	0.45	3.953691e+02
-11	0.5	4.255976e+02
-11	0.55	4.561261e+02
-11	0.6	4.559675e+02
-11	0.65	4.579115e+02
-11	0.7	4.819318e+02
-11	0.75	4.440488e+02
-11	0.8	4.703378e+02
-11	0.85	4.704334e+02
-11	0.9	4.600607e+02
-11	0.95	4.224658e+02
-11	1	4.745695e+02

-10	0	3.308800e+02
-10	0.05	3.328345e+02
-10	0.1	3.101601e+02
-10	0.15	3.296686e+02
-10	0.2	3.595406e+02
-10	0.25	3.279726e+02
-10	0.3	3.363549e+02
-10	0.35	3.389689e+02
-10	0.4	3.485257e+02
-10	0.45	3.940999e+02
-10	0.5	3.623182e+02
-10	0.55	3.699457e+02
-10	0.6	3.767723e+02
-10	0.65	3.807078e+02
-10	0.7	3.846020e+02
-10	0.75	3.587062e+02
-10	0.8	3.891599e+02
-10	0.85	3.676528e+02
-10	0.9	3.487027e+02
-10	0.95	3.732476e+02
-10	1	3.638946e+02

-9	0	2.648575e+02
-9	0.05	2.430482e+02
-9	0.1	2.506843e+02
-9	0.15	2.742209e+02
-9	0.2	2.565622e+02
-9	0.25	2.747596e+02
-9	0.3	2.821792e+02
-9	0.35	2.590349e+02
-9	0.4	2.904653e+02
-9	0.45	2.736872e+02
-9	0.5	2.937564e+02
-9	0.55	2.752392e+02
-9	0.6	2.905685e+02
-9	0.65	2.895581e+02
-9	0.7	2.891154e+02
-9	0.75	2.880487e+02
-9	0.8	2.996885e+02
-9	0.85	2.887638e+02
-9	0.9	3.131697e+02
-9	0.95	2.785475e+02
-9	1	3.091966e+02

-8	0	2.094061e+02
-8	0.05	2.203317e+02
-8	0.1	2.267216e+02
-8	0.15	1.947276e+02
-8	0.2	1.859933e+02
-8	0.25	2.294908e+02
-8	0.3	2.093373e+02
-8	0.35	2.302571e+02
-8	0.4	2.058394e+02
-8	0.45	2.291507e+02
-8	0.5	2.351744e+02
-8	0.55	2.143993e+02
-8	0.6	2.291510e+02
-8	0.65	2.450314e+02
-8	0.7	2.160110e+02
-8	0.75	2.299309e+02
-8	0.8	2.387990e+02
-8	0.85	2.465346e+02
-8	0.9	2.474032e+02
-8	0.95	2.422546e+02
-8	1	2.257704e+02

-7	0	1.780922e+02
-7	0.05	1.593517e+02
-7	0.1	1.622121e+02
-7	0.15	1.711676e+02
-7	0.2	1.750570e+02
-7	0.25	1.814410e+02
-7	0.3	1.707481e+02
-7	0.35	1.685767e+02
-7	0.4	1.873172e+02
-7	0.45	1.830390e+02
-7	0.5	1.767253e+02
-7	0.55	1.707947e+02
-7	0.6	1.834918e+02
-7	0.65	1.887782e+02
-7	0.7	2.061909e+02
-7	0.75	2.015676e+02
-7	0.8	1.924702e+02
-7	0.85	1.788169e+02
-7	0.9	1.851833e+02
-7	0.95	1.818032e+02
-7	1	1.863400e+02

-6	0	1.479534e+02
-6	0.05	1.431882e+02
-6	0.1	1.359342e+02
-6	0.15	1.382877e+02
-6	0.2	1.333701e+02
-6	0.25	1.378855e+02
-6	0.3	1.494777e+02
-6	0.35	1.270668e+02
-6	0.4	1.482177e+02
-6	0.45	1.446486e+02
-6	0.5	1.396444e+02
-6	0.55	1.457290e+02
-6	0.6	1.450362e+02
-6	0.65	1.520012e+02
-6	0.7	1.542792e+02
-6	0.75	1.583272e+02
-6	0.8	1.466922e+02
-6	0.85	1.565829e+02
-6	0.9	1.503378e+02
-6	0.95	1.346382e+02
-6	1	1.512624e+02

-5	0	1.155083e+02
-5	0.05	1.110982e+02
-5	0.1	1.152717e+02
-5	0.15	1.069885e+02
-5	0.2	1.129166e+02
-5	0.25	1.103690e+02
-5	0.3	1.080987e+02
-5	0.35	1.128702e+02
-5	0.4	1.133478e+02
-5	0.45	1.089652e+02
-5	0.5	1.159933e+02
-5	0.55	1.117473e+02
-5	0.6	1.169166e+02
-5	0.65	1.205993e+02
-5	0.7	1.109244e+02
-5	0.75	1.207249e+02
-5	0.8	1.198172e+02
-5	0.85	1.242358e+02
-5	0.9	1.181044e+02
-5	0.95	1.196561e+02
-5	1	1.060665e+02

-4	0	9.120626e+01
-4	0.05	1.002925e+02
-4	0.1	9.719164e+01
-4	0.15	9.225747e+01
-4	0.2	9.485567e+01
-4	0.25	9.131830e+01
-4	0.3	8.561099e+01
-4	0.35	9.702133e+01
-4	0.4	8.337400e+01
-4	0.45	8.968532e+01
-4	0.5	8.581617e+01
-4	0.55	9.445980e+01
-4	0.6	9.423368e+01
-4	0.65	9.103274e+01
-4	0.7	9.454214e+01
-4	0.75	8.605583e+01
-4	0.8	9.909037e+01
-4	0.85	9.128997e+01
-4	0.9	1.049191e+02
-4	0.95	9.788723e+01
-4	1	9.068843e+01

-3	0	7.769804e+01
-3	0.05	7.870246e+01
-3	0.1	7.982450e+01
-3	0.15	7.561214e+01
-3	0.2	7.585889e+01
-3	0.25	6.963002e+01
-3	0.3	6.712424e+01
-3	0.35	6.562934e+01
-3	0.4	6.707746e+01
-3	0.45	6.676334e+01
-3	0.5	6.707232e+01
-3	0.55	7.837513e+01
-3	0.6	7.149082e+01
-3	0.65	7.314780e+01
-3	0.7	7.153236e+01
-3	0.75	8.019241e+01
-3	0.8	7.435874e+01
-3	0.85	7.482220e+01
-3	0.9	7.892086e+01
-3	0.95	6.870951e+01
-3	1	7.976199e+01

-2	0	6.455198e+01
-2	0.05	6.386882e+01
-2	0.1	6.388840e+01
-2	0.15	6.401053e+01
-2	0.2	6.352268e+01
-2	0.25	6.138488e+01
-2	0.3	6.107450e+01
-2	0.35	6.132502e+01
-2	0.4	5.659592e+01
-2	0.45	5.612365e+01
-2	0.5	5.897985e+01
-2	0.55	5.404624e+01
-2	0.6	6.109038e+01
-2	0.65	6.034051e+01
-2	0.7	5.945931e+01
-2	0.75	5.984568e+01
-2	0.8	5.898754e+01
-2	0.85	5.710880e+01
-2	0.9	5.829171e+01
-2	0.95	5.889120e+01
-2	1	5.959456e+01

-1	0	5.251897e+01
-1	0.05	5.567222e+01
-1	0.1	5.795646e+01
-1	0.15	5.412121e+01
-1	0.2	4.957505e+01
-1	0.25	5.301067e+01
-1	0.3	5.103745e+01
-1	0.35	4.731954e+01
-1	0.4	4.532749e+01
-1	0.45	4.277983e+01
-1	0.5	4.575308e+01
-1	0.55	4.678292e+01
-1	0.6	4.350927e+01
-1	0.65	4.732513e+01
-1	0.7	5.154913e+01
-1	0.75	4.827308e+01
-1	0.8	4.810118e+01
-1	0.85	4.779456e+01
-1	0.9	4.914000e+01
-1	0.95	4.713254e+01
-1	1	4.536759e+01

0	0	4.809956e+01
0	0.05	4.784966e+01
0	0.1	4.730502e+01
0	0.15	4.768191e+01
0	0.2	4.546128e+01
0	0.25	4.158212e+01
0	0.3	4.241312e+01
0	0.35	3.769081e+01
0	0.4	3.787094e+01
0	0.45	3.564400e+01
0	0.5	3.871675e+01
0	0.55	3.669741e+01
0	0.6	3.864847e+01
0	0.65	3.759738e+01
0	0.7	3.765886e+01
0	0.75	3.681506e+01
0	0.8	4.016249e+01
0	0.85	3.677964e+01
0	0.9	3.774219e+01
0	0.95	3.703867e+01
0	1	3.807001e+01

1	0	3.695536e+01
1	0.05	4.301187e+01
1	0.1	4.303690e+01
1	0.15	3.900759e+01
1	0.2	3.373603e+01
1	0.25	3.381757e+01
1	0.3	3.257534e+01
1	0.35	3.186102e+01
1	0.4	3.204587e+01
1	0.45	2.903780e+01
1	0.5	2.908211e+01
1	0.55	2.904612e+01
1	0.6	3.126348e+01
1	0.65	3.161645e+01
1	0.7	3.112607e+01
1	0.75	3.176665e+01
1	0.8	2.865644e+01
1	0.85	3.036193e+01
1	0.9	3.028104e+01
1	0.95	2.700921e+01
1	1	2.931835e+01

2	0	3.631109e+01
2	0.05	3.504037e+01
2	0.1	3.597847e+01
2	0.15	3.302541e+01
2	0.2	3.422181e+01
2	0.25	3.077313e+01
2	0.3	2.841394e+01
2	0.35	2.631305e+01
2	0.4	2.528939e+01
2	0.45	2.367841e+01
2	0.5	2.344987e+01
2	0.55	2.403340e+01
2	0.6	2.497891e+01
2	0.65	2.535592e+01
2	0.7	2.474562e+01
2	0.75	2.486779e+01
2	0.8	2.685481e+01
2	0.85	2.352747e+01
2	0.9	2.388642e+01
2	0.95	2.473961e+01
2	1	2.501346e+01

3	0	3.036150e+01
3	0.05	3.275102e+01
3	0.1	3.040511e+01
3	0.15	2.966578e+01
3	0.2	2.958394e+01
3	0.25	2.721093e+01
3	0.3	2.312959e+01
3	0.35	2.179906e+01
3	0.4	2.138241e+01
3	0.45	1.980439e+01
3	0.5	1.853484e+01
3	0.55	2.001024e+01
3	0.6	2.010419e+01
3	0.65	1.887591e+01
3	0.7	2.140236e+01
3	0.75	1.916268e+01
3	0.8	1.954170e+01
3	0.85	1.977090e+01
3	0.9	1.924741e+01
3	0.95	1.818456e+01
3	1	1.832326e+01

4	0	3.004302e+01
4	0.05	2.930179e+01
4	0.1	2.808960e+01
4	0.15	2.753072e+01
4	0.2	2.415638e+01
4	0.25	2.302848e+01
4	0.3	1.972341e+01
4	0.35	1.926774e+01
4	0.4	1.641005e+01
4	0.45	1.551741e+01
4	0.5	1.521071e+01
4	0.55	1.500020e+01
4	0.6	1.529447e+01
4	0.65	1.680196e+01
4	0.7	1.590796e+01
4	0.75	1.671982e+01
4	0.8	1.598812e+01
4	0.85	1.552713e+01
4	0.9	1.595468e+01
