SNR_dB	aleph_array	mse_results
-20	0	9.658330e+01
-20	0.05	1.060276e+02
-20	0.1	1.034506e+02
-20	0.15	1.023931e+02
-20	0.2	1.045729e+02
-20	0.25	1.003925e+02
-20	0.3	9.893107e+01
-20	0.35	9.573130e+01
-20	0.4	1.078428e+02
-20	0.45	1.010835e+02
-20	0.5	1.079127e+02
-20	0.55	1.054786e+02
-20	0.6	1.048614e+02
-20	0.65	1.128679e+02
-20	0.7	1.143958e+02
-20	0.75	9.955137e+01
-20	0.8	1.134257e+02
-20	0.85	1.049427e+02
-20	0.9	1.058799e+02
-20	0.95	1.065193e+02
-20	1	1.074311e+02

-19	0	8.414285e+01
-19	0.05	8.324673e+01
-19	0.1	8.727764e+01
-19	0.15	7.862162e+01
-19	0.2	8.590291e+01
-19	0.25	8.458680e+01
-19	0.3	8.183188e+01
-19	0.35	7.936675e+01
-19	0.4	7.986324e+01
-19	0.45	8.300379e+01
-19	0.5	8.310556e+01
-19	0.55	8.096018e+01
-19	0.6	8.179210e+01
-19	0.65	7.860268e+01
-19	0.7	8.256055e+01
-19	0.75	8.418223e+01
-19	0.8	8.307726e+01
-19	0.85	8.341289e+01
-19	0.9	8.201289e+01
-19	0.95	8.424780e+01
-19	1	7.520199e+01

-18	0	6.806952e+01
-18	0.05	7.228239e+01
-18	0.1	7.350139e+01
-18	0.15	6.565753e+01
-18	0.2	6.890672e+01
-18	0.25	7.261405e+01
-18	0.3	6.468153e+01
-18	0.35	6.484813e+01
-18	0.4	6.384263e+01
-18	0.45	6.801775e+01
-18	0.5	6.719581e+01
-18	0.55	7.189461e+01
-18	0.6	6.865343e+01
-18	0.65	6.961606e+01
-18	0.7	6.839024e+01
-18	0.75	6.739046e+01
-18	0.8	6.880369e+01
-18	0.85	7.343048e+01
-18	0.9	6.441504e+01
-18	0.95	6.714593e+01
-18	1	6.983339e+01

-17	0	6.250651e+01
-17	0.05	6.278001e+01
-17	0.1	6.341748e+01
-17	0.15	6.219277e+01
-17	0.2	5.882803e+01
-17	0.25	5.526056e+01
-17	0.3	5.780823e+01
-17	0.35	5.196490e+01
-17	0.4	5.427577e+01
-17	0.45	4.770002e+01
-17	0.5	5.413531e+01
-17	0.55	5.472310e+01
-17	0.6	5.612191e+01
-17	0.65	5.442211e+01
-17	0.7	5.232970e+01
-17	0.75	5.673648e+01
-17	0.8	5.857333e+01
-17	0.85	5.450455e+01
-17	0.9	5.004220e+01
-17	0.95	5.472925e+01
-17	1	5.275375e+01

-16	0	5.159131e+01
-16	0.05	5.600851e+01
-16	0.1	5.040367e+01
-16	0.15	4.966701e+01
-16	0.2	4.569139e+01
-16	0.25	4.687752e+01
-16	0.3	4.553542e+01
-16	0.35	4.145016e+01
-16	0.4	4.228112e+01
-16	0.45	4.113710e+01
-16	0.5	4.298447e+01
-16	0.55	4.052201e+01
-16	0.6	4.265286e+01
-16	0.65	4.474012e+01
-16	0.7	4.543277e+01
-16	0.75	4.401952e+01
-16	0.8	4.231321e+01
-16	0.85	4.130194e+01
-16	0.9	4.234836e+01
-16	0.95	4.391538e+01
-16	1	4.224598e+01

-15	0	4.301125e+01
-15	0.05	4.172836e+01
-15	0.1	4.651965e+01
-15	0.15	4.615135e+01
-15	0.2	4.116162e+01
-15	0.25	4.062490e+01
-15	0.3	3.734049e+01
-15	0.35	3.371351e+01
-15	0.4	3.504933e+01
-15	0.45	3.442703e+01
-15	0.5	3.458130e+01
-15	0.55	3.385033e+01
-15	0.6	3.361443e+01
-15	0.65	3.426976e+01
-15	0.7	3.607800e+01
-15	0.75	3.737984e+01
-15	0.8	3.576667e+01
-15	0.85	3.342398e+01
-15	0.9	3.551756e+01
-15	0.95	3.284638e+01
-15	1	3.259848e+01

-14	0	3.468034e+01
-14	0.05	3.929128e+01
-14	0.1	3.905614e+01
-14	0.15	3.970559e+01
-14	0.2	3.597150e+01
-14	0.25	3.682602e+01
-14	0.3	2.985331e+01
-14	0.35	2.840901e+01
-14	0.4	2.788277e+01
-14	0.45	2.720627e+01
-14	0.5	2.668213e+01
-14	0.55	2.701656e+01
-14	0.6	2.674857e+01
-14	0.65	2.902863e+01
-14	0.7	3.005805e+01
-14	0.75	2.807172e+01
-14	0.8	2.868961e+01
-14	0.85	2.896706e+01
-14	0.9	2.670393e+01
-14	0.95	2.438823e+01
-14	1	2.666962e+01

-13	0	3.347305e+01
-13	0.05	3.618043e+01
-13	0.1	3.255305e+01
-13	0.15	3.333463e+01
-13	0.2	3.299055e+01
-13	0.25	2.993636e+01
-13	0.3	2.816387e+01
-13	0.35	2.434876e+01
-13	0.4	2.216041e+01
-13	0.45	2.149219e+01
-13	0.5	2.367728e+01
-13	0.55	2.273266e+01
-13	0.6	2.145103e+01
-13	0.65	2.352912e+01
-13	0.7	2.179452e+01
-13	0.75	2.393302e+01
-13	0.8	2.062979e+01
-13	0.85	2.242520e+01
-13	0.9	2.301223e+01
-13	0.95	2.105967e+01
-13	1	2.180239e+01

-12	0	3.032016e+01
-12	0.05	2.994441e+01
-12	0.1	2.956757e+01
-12	0.15	2.885851e+01
-12	0.2	2.654333e+01
-12	0.25	2.378734e+01
-12	0.3	2.356753e+01
-12	0.35	2.067810e+01
-12	0.4	1.905401e+01
-12	0.45	1.759347e+01
-12	0.5	1.727342e+01
-12	0.55	1.706605e+01
-12	0.6	1.813499e+01
-12	0.65	1.738847e+01
-12	0.7	1.884837e+01
-12	0.75	1.828273e+01
-12	0.8	1.807715e+01
-12	0.85	1.836102e+01
-12	0.9	1.657851e+01
-12	0.95	1.760642e+01
-12	1	1.781808e+01

-11	0	2.616240e+01
-11	0.05	2.784540e+01
-11	0.1	2.833963e+01
-11	0.15	2.729103e+01
-11	0.2	2.724367e+01
-11	0.25	2.202847e+01
-11	0.3	2.010073e+01
-11	0.35	1.690966e+01
-11	0.4	1.547782e+01
-11	0.45	1.519379e+01
-11	0.5	1.427296e+01
-11	0.55	1.301732e+01
-11	0.6	1.461346e+01
-11	0.65	1.482504e+01
-11	0.7	1.491993e+01
-11	0.75	1.548481e+01
-11	0.8	1.360393e+01
-11	0.85	1.566045e+01
-11	0.9	1.314747e+01
-11	0.95	1.474333e+01
-11	1	1.468678e+01

-10	0	2.446875e+01
-10	0.05	2.645327e+01
-10	0.1	2.510694e+01
-10	0.15	2.380871e+01
-10	0.2	2.169330e+01
-10	0.25	2.028386e+01
-10	0.3	1.637336e+01
-10	0.35	1.540562e+01
-10	0.4	1.282883e+01
-10	0.45	1.011879e+01
-10	0.5	1.064809e+01
-10	0.55	1.126263e+01
-10	0.6	1.110042e+01
-10	0.65	1.198490e+01
-10	0.7	1.174597e+01
-10	0.75	1.178749e+01
-10	0.8	1.269925e+01
-10	0.85	1.142221e+01
-10	0.9	1.144206e+01
