SNR_dB	aleph_array	mse_results
-20	0	6.176502e+02
-20	0.05	5.740703e+02
-20	0.1	6.067262e+02
-20	0.15	6.538659e+02
-20	0.2	6.591960e+02
-20	0.25	7.128605e+02
-20	0.3	6.444936e+02
-20	0.35	6.862409e+02
-20	0.4	7.065247e+02
-20	0.45	6.773715e+02
-20	0.5	6.614827e+02
-20	0.55	7.594809e+02
-20	0.6	6.999061e+02
-20	0.65	7.834492e+02
-20	0.7	7.483906e+02
-20	0.75	7.566673e+02
-20	0.8	7.147061e+02
-20	0.85	7.247147e+02
-20	0.9	7.462978e+02
-20	0.95	7.548548e+02
-20	1	7.082856e+02

-19	0	5.217290e+02
-19	0.05	5.414736e+02
-19	0.1	4.977299e+02
-19	0.15	4.762090e+02
-19	0.2	5.341111e+02
-19	0.25	5.137681e+02
-19	0.3	5.231707e+02
-19	0.35	5.383109e+02
-19	0.4	4.898036e+02
-19	0.45	5.330114e+02
-19	0.5	5.581530e+02
-19	0.55	5.395713e+02
-19	0.6	5.748094e+02
-19	0.65	5.748237e+02
-19	0.7	6.177889e+02
-19	0.75	5.450650e+02
-19	0.8	5.802653e+02
-19	0.85	6.540677e+02
-19	0.9	5.527899e+02
-19	0.95	5.754041e+02
-19	1	5.912675e+02

-18	0	4.164230e+02
-18	0.05	4.058527e+02
-18	0.1	4.015802e+02
-18	0.15	4.245980e+02
-18	0.2	3.886400e+02
-18	0.25	4.314581e+02
-18	0.3	4.318904e+02
-18	0.35	4.130403e+02
-18	0.4	4.227817e+02
-18	0.45	4.562704e+02
-18	0.5	4.679016e+02
-18	0.55	4.450859e+02
-18	0.6	4.528794e+02
-18	0.65	4.452669e+02
-18	0.7	4.439173e+02
-18	0.75	4.594596e+02
-18	0.8	4.819143e+02
-18	0.85	4.459777e+02
-18	0.9	4.500921e+02
-18	0.95	4.283294e+02
-18	1	4.896141e+02

-17	0	3.252314e+02
-17	0.05	3.122798e+02
-17	0.1	3.066971e+02
-17	0.15	3.346751e+02
-17	0.2	3.300116e+02
-17	0.25	3.249205e+02
-17	0.3	3.275458e+02
-17	0.35	3.502100e+02
-17	0.4	3.256029e+02
-17	0.45	3.739428e+02
-17	0.5	3.635889e+02
-17	0.55	3.829881e+02
-17	0.6	3.752574e+02
-17	0.65	3.658565e+02
-17	0.7	3.716539e+02
-17	0.75	3.868569e+02
-17	0.8	3.878844e+02
-17	0.85	3.700384e+02
-17	0.9	3.705362e+02
-17	0.95	3.715852e+02
-17	1	3.713532e+02

-16	0	2.734106e+02
-16	0.05	2.552282e+02
-16	0.1	2.732832e+02
-16	0.15	2.752505e+02
-16	0.2	2.735125e+02
-16	0.25	2.618876e+02
-16	0.3	2.771347e+02
-16	0.35	2.822095e+02
-16	0.4	2.731969e+02
-16	0.45	2.567776e+02
-16	0.5	2.817754e+02
-16	0.55	2.717115e+02
-16	0.6	2.664596e+02
-16	0.65	3.001968e+02
-16	0.7	2.992134e+02
-16	0.75	3.034458e+02
-16	0.8	2.941239e+02
-16	0.85	2.979969e+02
-16	0.9	3.230146e+02
-16	0.95	3.082689e+02
-16	1	2.936568e+02

-15	0	2.186215e+02
-15	0.05	2.123545e+02
-15	0.1	2.029369e+02
-15	0.15	2.044640e+02
-15	0.2	1.977153e+02
-15	0.25	2.045510e+02
-15	0.3	2.087156e+02
-15	0.35	2.170533e+02
-15	0.4	2.221880e+02
-15	0.45	2.242554e+02
-15	0.5	2.307514e+02
-15	0.55	2.362851e+02
-15	0.6	2.418991e+02
-15	0.65	2.523204e+02
-15	0.7	2.441734e+02
-15	0.75	2.298372e+02
-15	0.8	2.437459e+02
-15	0.85	2.352687e+02
-15	0.9	2.512920e+02
-15	0.95	2.281325e+02
-15	1	2.296481e+02

-14	0	1.812624e+02
-14	0.05	1.656276e+02
-14	0.1	1.809600e+02
-14	0.15	1.707388e+02
-14	0.2	1.780876e+02
-14	0.25	1.738540e+02
-14	0.3	1.759572e+02
-14	0.35	1.753300e+02
-14	0.4	1.679998e+02
-14	0.45	1.813435e+02
-14	0.5	1.815769e+02
-14	0.55	1.843420e+02
-14	0.6	1.974876e+02
-14	0.65	1.860173e+02
-14	0.7	1.864419e+02
-14	0.75	1.809947e+02
-14	0.8	1.880675e+02
-14	0.85	1.828237e+02
-14	0.9	1.915583e+02
-14	0.95	1.896471e+02
-14	1	1.837722e+02

-13	0	1.446170e+02
-13	0.05	1.434496e+02
-13	0.1	1.482294e+02
-13	0.15	1.432621e+02
-13	0.2	1.489678e+02
-13	0.25	1.363241e+02
-13	0.3	1.526240e+02
-13	0.35	1.327791e+02
-13	0.4	1.476305e+02
-13	0.45	1.334452e+02
-13	0.5	1.374518e+02
-13	0.55	1.539521e+02
-13	0.6	1.495925e+02
-13	0.65	1.376750e+02
-13	0.7	1.499180e+02
-13	0.75	1.468491e+02
-13	0.8	1.492327e+02
-13	0.85	1.591708e+02
-13	0.9	1.466883e+02
-13	0.95	1.552191e+02
-13	1	1.367349e+02

-12	0	1.184777e+02
-12	0.05	1.156452e+02
-12	0.1	1.153977e+02
-12	0.15	1.133728e+02
-12	0.2	1.160306e+02
-12	0.25	1.056188e+02
-12	0.3	1.168693e+02
-12	0.35	1.143107e+02
-12	0.4	1.168460e+02
-12	0.45	1.139954e+02
-12	0.5	1.049325e+02
-12	0.55	1.092927e+02
-12	0.6	1.161916e+02
-12	0.65	1.170383e+02
-12	0.7	1.244927e+02
-12	0.75	1.260933e+02
-12	0.8	1.191850e+02
-12	0.85	1.269094e+02
-12	0.9	1.189280e+02
-12	0.95	1.177510e+02
-12	1	1.159209e+02

-11	0	8.684372e+01
-11	0.05	9.456656e+01
-11	0.1	9.775505e+01
-11	0.15	9.732630e+01
-11	0.2	9.270903e+01
-11	0.25	9.246928e+01
-11	0.3	9.848416e+01
-11	0.35	9.346526e+01
-11	0.4	8.979139e+01
-11	0.45	8.772106e+01
-11	0.5	8.130397e+01
-11	0.55	9.299151e+01
-11	0.6	9.211500e+01
-11	0.65	8.911717e+01
-11	0.7	9.047015e+01
-11	0.75	9.766745e+01
-11	0.8	9.386380e+01
-11	0.85	9.522834e+01
-11	0.9	9.276338e+01
-11	0.95	8.536102e+01
-11	1	8.872466e+01

-10	0	7.527781e+01
-10	0.05	7.822209e+01
-10	0.1	8.058322e+01
-10	0.15	7.068912e+01
-10	0.2	7.371000e+01
-10	0.25	7.629907e+01
-10	0.3	7.017360e+01
-10	0.35	7.163538e+01
-10	0.4	7.580010e+01
-10	0.45	7.270703e+01
-10	0.5	7.314185e+01
-10	0.55	6.799468e+01
-10	0.6	7.376856e+01
-10	0.65	8.094531e+01
-10	0.7	7.855581e+01
-10	0.75	8.235610e+01
-10	0.8	7.139888e+01
-10	0.85	7.658970e+01
-10	0.9	7.474544e+01
-10	0.95	7.957916e+01
-10	1	7.553337e+01

-9	0	6.347193e+01
-9	0.05	6.474735e+01
-9	0.1	6.127514e+01
-9	0.15	6.332471e+01
-9	0.2	6.333220e+01
-9	0.25	6.303890e+01
-9	0.3	6.188154e+01
-9	0.35	5.889349e+01
-9	0.4	5.796038e+01
-9	0.45	5.948782e+01
-9	0.5	5.893779e+01
-9	0.55	6.454797e+01
-9	0.6	5.858747e+01
-9	0.65	6.102133e+01
-9	0.7	5.943091e+01
-9	0.75	5.753027e+01
-9	0.8	6.036522e+01
-9	0.85	6.143556e+01
-9	0.9	6.561717e+01
-9	0.95	5.530866e+01
-9	1	5.864615e+01

-8	0	5.083941e+01
-8	0.05	5.729374e+01
-8	0.1	5.938962e+01
-8	0.15	5.344004e+01
-8	0.2	5.427148e+01
-8	0.25	5.299043e+01
-8	0.3	4.478929e+01
-8	0.35	4.593334e+01
-8	0.4	4.466404e+01
-8	0.45	5.164173e+01
-8	0.5	4.672072e+01
-8	0.55	4.482825e+01
-8	0.6	4.594460e+01
-8	0.65	4.563644e+01
-8	0.7	5.289194e+01
-8	0.75	4.672438e+01
-8	0.8	5.261338e+01
-8	0.85	4.707950e+01
-8	0.9	4.560683e+01
-8	0.95	4.696447e+01
-8	1	4.804307e+01

-7	0	4.538158e+01
-7	0.05	4.653799e+01
-7	0.1	4.862552e+01
-7	0.15	4.477658e+01
-7	0.2	4.687449e+01
-7	0.25	4.050774e+01
-7	0.3	3.974075e+01
-7	0.35	3.913872e+01
-7	0.4	3.806776e+01
-7	0.45	3.623812e+01
-7	0.5	3.610446e+01
-7	0.55	3.647217e+01
-7	0.6	3.858892e+01
-7	0.65	3.824678e+01
-7	0.7	3.638714e+01
-7	0.75	3.899458e+01
-7	0.8	3.833412e+01
-7	0.85	3.718056e+01
-7	0.9	3.932595e+01
-7	0.95	3.883598e+01
-7	1	3.815575e+01

-6	0	4.199711e+01
-6	0.05	4.023318e+01
-6	0.1	4.149598e+01
-6	0.15	4.100357e+01
-6	0.2	3.601733e+01
-6	0.25	3.718413e+01
-6	0.3	3.332181e+01
-6	0.35	3.228096e+01
-6	0.4	2.973499e+01
-6	0.45	2.989885e+01
