SNR_dB	aleph_array	mse_results
-20	0	1.024193e+03
-20	0.05	9.984698e+02
-20	0.1	1.055439e+03
-20	0.15	1.120918e+03
-20	0.2	1.034753e+03
-20	0.25	1.046548e+03
-20	0.3	1.148262e+03
-20	0.35	1.224029e+03
-20	0.4	1.148850e+03
-20	0.45	1.207884e+03
-20	0.5	1.227624e+03
-20	0.55	1.278925e+03
-20	0.6	1.200584e+03
-20	0.65	1.342492e+03
-20	0.7	1.210022e+03
-20	0.75	1.326323e+03
-20	0.8	1.263436e+03
-20	0.85	1.256265e+03
-20	0.9	1.210334e+03
-20	0.95	1.221015e+03
-20	1	1.274127e+03

-19	0	7.998287e+02
-19	0.05	8.372015e+02
-19	0.1	8.441290e+02
-19	0.15	8.658039e+02
-19	0.2	8.322105e+02
-19	0.25	9.500643e+02
-19	0.3	9.192027e+02
-19	0.35	8.578988e+02
-19	0.4	9.179327e+02
-19	0.45	9.454644e+02
-19	0.5	9.861714e+02
-19	0.55	9.704369e+02
-19	0.6	9.217754e+02
-19	0.65	8.919097e+02
-19	0.7	1.052519e+03
-19	0.75	1.044661e+03
-19	0.8	9.856446e+02
-19	0.85	1.025796e+03
-19	0.9	9.596783e+02
-19	0.95	9.411297e+02
-19	1	9.590790e+02

-18	0	7.153410e+02
-18	0.05	6.827164e+02
-18	0.1	6.240445e+02
-18	0.15	6.990626e+02
-18	0.2	6.131089e+02
-18	0.25	7.033099e+02
-18	0.3	7.168620e+02
-18	0.35	7.312359e+02
-18	0.4	6.993458e+02
-18	0.45	7.444263e+02
-18	0.5	7.607308e+02
-18	0.55	7.875753e+02
-18	0.6	7.811769e+02
-18	0.65	8.032157e+02
-18	0.7	7.845338e+02
-18	0.75	8.110938e+02
-18	0.8	7.973979e+02
-18	0.85	7.253870e+02
-18	0.9	7.358880e+02
-18	0.95	7.526693e+02
-18	1	7.586957e+02

-17	0	5.541278e+02
-17	0.05	5.345332e+02
-17	0.1	5.088976e+02
-17	0.15	5.577161e+02
-17	0.2	5.479885e+02
-17	0.25	4.989240e+02
-17	0.3	5.314260e+02
-17	0.35	5.663034e+02
-17	0.4	5.521160e+02
-17	0.45	5.651399e+02
-17	0.5	6.313212e+02
-17	0.55	5.730279e+02
-17	0.6	5.939569e+02
-17	0.65	6.035866e+02
-17	0.7	6.063998e+02
-17	0.75	6.354917e+02
-17	0.8	6.009100e+02
-17	0.85	6.005180e+02
-17	0.9	6.788930e+02
-17	0.95	6.502767e+02
-17	1	5.921325e+02

-16	0	4.159952e+02
-16	0.05	4.107520e+02
-16	0.1	4.036537e+02
-16	0.15	4.756707e+02
-16	0.2	3.927928e+02
-16	0.25	4.645484e+02
-16	0.3	4.262623e+02
-16	0.35	4.724532e+02
-16	0.4	4.487068e+02
-16	0.45	4.568809e+02
-16	0.5	4.606521e+02
-16	0.55	4.656041e+02
-16	0.6	4.928512e+02
-16	0.65	4.894937e+02
-16	0.7	4.945072e+02
-16	0.75	5.065629e+02
-16	0.8	5.084412e+02
-16	0.85	5.314951e+02
-16	0.9	5.168125e+02
-16	0.95	4.817892e+02
-16	1	4.988440e+02

-15	0	3.470777e+02
-15	0.05	3.503559e+02
-15	0.1	3.859134e+02
-15	0.15	3.484973e+02
-15	0.2	3.491637e+02
-15	0.25	3.502065e+02
-15	0.3	3.536740e+02
-15	0.35	3.859432e+02
-15	0.4	3.534342e+02
-15	0.45	3.590517e+02
-15	0.5	3.948646e+02
-15	0.55	3.851177e+02
-15	0.6	4.078479e+02
-15	0.65	3.470987e+02
-15	0.7	3.687246e+02
-15	0.75	4.004935e+02
-15	0.8	3.983563e+02
-15	0.85	4.192477e+02
-15	0.9	3.957059e+02
-15	0.95	4.149068e+02
-15	1	4.051257e+02

-14	0	2.580049e+02
-14	0.05	2.941160e+02
-14	0.1	2.687631e+02
-14	0.15	2.722079e+02
-14	0.2	2.832112e+02
-14	0.25	2.654122e+02
-14	0.3	2.838217e+02
-14	0.35	2.977977e+02
-14	0.4	3.140186e+02
-14	0.45	2.746970e+02
-14	0.5	2.730142e+02
-14	0.55	2.816047e+02
-14	0.6	2.846410e+02
-14	0.65	3.166327e+02
-14	0.7	2.950546e+02
-14	0.75	2.966639e+02
-14	0.8	2.987639e+02
-14	0.85	3.079523e+02
-14	0.9	3.013292e+02
-14	0.95	2.952526e+02
-14	1	3.132342e+02

-13	0	2.089267e+02
-13	0.05	2.251774e+02
-13	0.1	2.206818e+02
-13	0.15	2.069580e+02
-13	0.2	2.216851e+02
-13	0.25	2.196113e+02
-13	0.3	2.197433e+02
-13	0.35	2.028352e+02
-13	0.4	2.352923e+02
-13	0.45	2.498966e+02
-13	0.5	2.325633e+02
-13	0.55	2.608228e+02
-13	0.6	2.619053e+02
-13	0.65	2.403447e+02
-13	0.7	2.473873e+02
-13	0.75	2.350268e+02
-13	0.8	2.485802e+02
-13	0.85	2.382141e+02
-13	0.9	2.283415e+02
-13	0.95	2.670450e+02
-13	1	2.527464e+02

-12	0	1.738196e+02
-12	0.05	1.711559e+02
-12	0.1	1.860616e+02
-12	0.15	1.851014e+02
-12	0.2	1.881689e+02
-12	0.25	1.782891e+02
-12	0.3	1.752674e+02
-12	0.35	1.776384e+02
-12	0.4	1.721315e+02
-12	0.45	1.972894e+02
-12	0.5	2.098454e+02
-12	0.55	1.724089e+02
-12	0.6	1.952033e+02
-12	0.65	1.967201e+02
-12	0.7	1.927198e+02
-12	0.75	1.887830e+02
-12	0.8	1.949595e+02
-12	0.85	1.936602e+02
-12	0.9	1.992858e+02
-12	0.95	2.050983e+02
-12	1	1.847436e+02

-11	0	1.306559e+02
-11	0.05	1.526614e+02
-11	0.1	1.323505e+02
-11	0.15	1.403863e+02
-11	0.2	1.533978e+02
-11	0.25	1.359901e+02
-11	0.3	1.526262e+02
-11	0.35	1.430760e+02
-11	0.4	1.512485e+02
-11	0.45	1.473955e+02
-11	0.5	1.540265e+02
-11	0.55	1.616751e+02
-11	0.6	1.467544e+02
-11	0.65	1.589995e+02
-11	0.7	1.580768e+02
-11	0.75	1.582350e+02
-11	0.8	1.575783e+02
-11	0.85	1.561515e+02
-11	0.9	1.548529e+02
-11	0.95	1.512968e+02
-11	1	1.542696e+02

-10	0	1.135739e+02
-10	0.05	1.243191e+02
-10	0.1	1.218507e+02
-10	0.15	1.229335e+02
-10	0.2	1.302345e+02
-10	0.25	1.138526e+02
-10	0.3	1.110613e+02
-10	0.35	1.212413e+02
-10	0.4	1.108263e+02
-10	0.45	1.272517e+02
-10	0.5	1.316625e+02
-10	0.55	1.220844e+02
-10	0.6	1.190037e+02
-10	0.65	1.285451e+02
-10	0.7	1.260555e+02
-10	0.75	1.263931e+02
-10	0.8	1.271311e+02
-10	0.85	1.315666e+02
-10	0.9	1.309192e+02
-10	0.95	1.223614e+02
-10	1	1.226937e+02

-9	0	9.843191e+01
-9	0.05	9.773606e+01
-9	0.1	9.538034e+01
-9	0.15	9.501623e+01
-9	0.2	8.595111e+01
-9	0.25	9.619972e+01
-9	0.3	9.121281e+01
-9	0.35	8.984239e+01
-9	0.4	9.460796e+01
-9	0.45	9.761678e+01
-9	0.5	9.049739e+01
-9	0.55	9.500812e+01
-9	0.6	9.530455e+01
-9	0.65	9.983099e+01
-9	0.7	1.016211e+02
-9	0.75	9.607592e+01
-9	0.8	9.899859e+01
-9	0.85	9.516924e+01
-9	0.9	9.746519e+01
-9	0.95	9.696615e+01
-9	1	9.888443e+01

-8	0	7.946020e+01
-8	0.05	7.712750e+01
-8	0.1	7.647245e+01
-8	0.15	7.558447e+01
-8	0.2	8.571257e+01
-8	0.25	7.766863e+01
-8	0.3	7.408328e+01
-8	0.35	7.323979e+01
-8	0.4	7.641903e+01
-8	0.45	7.511907e+01
-8	0.5	7.702551e+01
-8	0.55	7.111361e+01
-8	0.6	7.796913e+01
-8	0.65	8.100523e+01
-8	0.7	8.004601e+01
-8	0.75	7.661903e+01
-8	0.8	7.519573e+01
-8	0.85	7.544712e+01
-8	0.9	7.682832e+01
-8	0.95	8.198183e+01
-8	1	7.260022e+01

-7	0	6.451901e+01
-7	0.05	6.754544e+01
-7	0.1	6.198397e+01
-7	0.15	6.626617e+01
-7	0.2	6.330311e+01
-7	0.25	6.577597e+01
-7	0.3	6.261375e+01
-7	0.35	6.354405e+01
-7	0.4	6.560321e+01
-7	0.45	5.900902e+01
-7	0.5	6.230405e+01
-7	0.55	6.030380e+01
-7	0.6	6.589800e+01
-7	0.65	6.441361e+01
-7	0.7	6.366937e+01
-7	0.75	5.974889e+01
-7	0.8	6.452079e+01
-7	0.85	6.853081e+01
-7	0.9	6.448376e+01
-7	0.95	5.978829e+01
-7	1	5.946267e+01

-6	0	5.849596e+01
-6	0.05	6.097046e+01
-6	0.1	5.862443e+01
-6	0.15	5.979413e+01
-6	0.2	5.584542e+01
-6	0.25	5.548020e+01
-6	0.3	4.956491e+01
-6	0.35	5.222758e+01
-6	0.4	4.620774e+01
-6	0.45	4.543055e+01
-6	0.5	5.111049e+01
-6	0.55	5.236341e+01
-6	0.6	4.925068e+01
-6	0.65	4.868581e+01
-6	0.7	5.242106e+01
-6	0.75	5.233180e+01
-6	0.8	5.247386e+01
-6	0.85	5.265459e+01
-6	0.9	5.111881e+01
-6	0.95	5.107221e+01
-6	1	5.405995e+01

-5	0	4.937568e+01
-5	0.05	5.164388e+01
-5	0.1	5.053888e+01
-5	0.15	4.928225e+01
-5	0.2	4.739019e+01
-5	0.25	4.219063e+01
-5	0.3	4.557964e+01
-5	0.35	3.867800e+01
-5	0.4	3.890395e+01
-5	0.45	3.861462e+01
-5	0.5	4.004429e+01
-5	0.55	4.047976e+01
-5	0.6	3.866217e+01
-5	0.65	4.030082e+01
-5	0.7	3.932112e+01
-5	0.75	4.067270e+01
-5	0.8	4.109165e+01
-5	0.85	4.008981e+01
-5	0.9	3.815557e+01
-5	0.95	3.980430e+01
-5	1	3.793146e+01

-4	0	3.850192e+01
-4	0.05	3.927188e+01
-4	0.1	4.300057e+01
-4	0.15	4.013565e+01
-4	0.2	3.867987e+01
-4	0.25	3.966661e+01
-4	0.3	3.615547e+01
-4	0.35	3.292410e+01
-4	0.4	3.111601e+01
-4	0.45	3.383919e+01
-4	0.5	3.090640e+01
-4	0.55	3.379418e+01
-4	0.6	3.158698e+01
-4	0.65	3.237490e+01
-4	0.7	3.279942e+01
-4	0.75	3.210284e+01
-4	0.8	3.562604e+01
-4	0.85	3.165851e+01
-4	0.9	3.118345e+01
-4	0.95	3.106927e+01
-4	1	3.223063e+01

-3	0	3.549527e+01
-3	0.05	3.800025e+01
-3	0.1	3.832784e+01
-3	0.15	3.557766e+01
-3	0.2	3.769502e+01
-3	0.25	3.127629e+01
-3	0.3	3.289184e+01
-3	0.35	2.773056e+01
-3	0.4	2.844346e+01
-3	0.45	2.411981e+01
-3	0.5	2.493607e+01
-3	0.55	2.206375e+01
-3	0.6	2.688949e+01
-3	0.65	2.550417e+01
-3	0.7	2.488587e+01
-3	0.75	2.536900e+01
-3	0.8	2.702582e+01
-3	0.85	2.545419e+01
-3	0.9	2.564096e+01
-3	0.95	2.580149e+01
-3	1	2.451270e+01

-2	0	3.095520e+01
-2	0.05	3.316601e+01
-2	0.1	3.144004e+01
-2	0.15	3.076200e+01
-2	0.2	2.859525e+01
-2	0.25	2.778834e+01
-2	0.3	2.540110e+01
-2	0.35	2.250158e+01
-2	0.4	2.141916e+01
-2	0.45	1.904941e+01
-2	0.5	1.837170e+01
-2	0.55	2.009143e+01
-2	0.6	1.939240e+01
-2	0.65	1.934189e+01
-2	0.7	2.050440e+01
-2	0.75	1.981208e+01
-2	0.8	2.064364e+01
-2	0.85	2.243636e+01
-2	0.9	1.934391e+01
-2	0.95	2.062368e+01
-2	1	1.958148e+01

-1	0	2.861549e+01
-1	0.05	2.877479e+01
-1	0.1	3.015309e+01
-1	0.15	2.988041e+01
-1	0.2	2.632679e+01
-1	0.25	2.276484e+01
-1	0.3	2.092087e+01
-1	0.35	1.984652e+01
-1	0.4	1.737375e+01
-1	0.45	1.622459e+01
-1	0.5	1.506443e+01
-1	0.55	1.486934e+01
-1	0.6	1.622272e+01
-1	0.65	1.700332e+01
-1	0.7	1.606823e+01
-1	0.75	1.729098e+01
-1	0.8	1.747956e+01
-1	0.85	1.604475e+01
-1	0.9	1.600658e+01
-1	0.95	1.763872e+01
-1	1	1.577429e+01

0	0	2.532774e+01
0	0.05	2.456445e+01
0	0.1	2.608373e+01
0	0.15	2.499199e+01
0	0.2	2.409715e+01
0	0.25	2.003156e+01
0	0.3	1.909890e+01
0	0.35	1.633761e+01
0	0.4	1.479457e+01
0	0.45	1.369582e+01
0	0.5	1.302846e+01
0	0.55	1.241536e+01
0	0.6	1.411180e+01
0	0.65	1.290387e+01
0	0.7	1.423361e+01
0	0.75	1.281537e+01
0	0.8	1.331527e+01
0	0.85	1.390845e+01
