SNR_dB	aleph_array	mse_results
-20	0	9.472890e+01
-20	0.05	8.927646e+01
-20	0.1	9.317967e+01
-20	0.15	9.638503e+01
-20	0.2	8.848362e+01
-20	0.25	9.154333e+01
-20	0.3	8.476801e+01
-20	0.35	9.707024e+01
-20	0.4	8.596518e+01
-20	0.45	9.090313e+01
-20	0.5	9.122806e+01
-20	0.55	8.749921e+01
-20	0.6	9.352928e+01
-20	0.65	8.687639e+01
-20	0.7	1.019946e+02
-20	0.75	1.012755e+02
-20	0.8	9.710033e+01
-20	0.85	8.944993e+01
-20	0.9	9.076143e+01
-20	0.95	9.181143e+01
-20	1	9.686651e+01

-19	0	7.764096e+01
-19	0.05	7.626424e+01
-19	0.1	8.142325e+01
-19	0.15	7.820501e+01
-19	0.2	7.824508e+01
-19	0.25	7.038843e+01
-19	0.3	7.307660e+01
-19	0.35	7.415879e+01
-19	0.4	7.415154e+01
-19	0.45	7.265301e+01
-19	0.5	7.034731e+01
-19	0.55	7.304471e+01
-19	0.6	7.559857e+01
-19	0.65	7.391382e+01
-19	0.7	7.690402e+01
-19	0.75	7.873482e+01
-19	0.8	7.840158e+01
-19	0.85	7.893230e+01
-19	0.9	7.233045e+01
-19	0.95	7.933674e+01
-19	1	7.611241e+01

-18	0	5.946917e+01
-18	0.05	6.407343e+01
-18	0.1	6.093150e+01
-18	0.15	6.969882e+01
-18	0.2	6.103505e+01
-18	0.25	5.852741e+01
-18	0.3	6.098874e+01
-18	0.35	5.964924e+01
-18	0.4	6.081475e+01
-18	0.45	6.117711e+01
-18	0.5	5.927923e+01
-18	0.55	5.527759e+01
-18	0.6	6.099400e+01
-18	0.65	5.456249e+01
-18	0.7	5.826288e+01
-18	0.75	6.179812e+01
-18	0.8	5.690350e+01
-18	0.85	5.718718e+01
-18	0.9	5.955480e+01
-18	0.95	6.209467e+01
-18	1	5.401487e+01

-17	0	5.050892e+01
-17	0.05	5.545969e+01
-17	0.1	5.660365e+01
-17	0.15	5.037481e+01
-17	0.2	5.144624e+01
-17	0.25	4.867881e+01
-17	0.3	5.122177e+01
-17	0.35	4.677527e+01
-17	0.4	4.487690e+01
-17	0.45	4.331991e+01
-17	0.5	4.713550e+01
-17	0.55	4.862775e+01
-17	0.6	4.555430e+01
-17	0.65	4.703730e+01
-17	0.7	4.661865e+01
-17	0.75	4.759645e+01
-17	0.8	4.982155e+01
-17	0.85	4.781716e+01
-17	0.9	4.707784e+01
-17	0.95	4.526197e+01
-17	1	4.767084e+01

-16	0	4.771080e+01
-16	0.05	4.659444e+01
-16	0.1	4.738222e+01
-16	0.15	4.960519e+01
-16	0.2	4.434080e+01
-16	0.25	4.165966e+01
-16	0.3	4.006565e+01
-16	0.35	3.596956e+01
-16	0.4	3.603521e+01
-16	0.45	3.848371e+01
-16	0.5	3.765045e+01
-16	0.55	3.446964e+01
-16	0.6	3.829915e+01
-16	0.65	3.563079e+01
-16	0.7	3.543852e+01
-16	0.75	3.768109e+01
-16	0.8	3.910771e+01
-16	0.85	4.019558e+01
-16	0.9	3.775394e+01
-16	0.95	4.043873e+01
-16	1	3.581662e+01

-15	0	3.797083e+01
-15	0.05	4.128046e+01
-15	0.1	4.254490e+01
-15	0.15	4.025174e+01
-15	0.2	4.185569e+01
-15	0.25	3.475100e+01
-15	0.3	3.530958e+01
-15	0.35	3.068058e+01
-15	0.4	2.816312e+01
-15	0.45	2.848773e+01
-15	0.5	2.744707e+01
-15	0.55	3.050143e+01
-15	0.6	2.998091e+01
-15	0.65	2.897651e+01
-15	0.7	3.114419e+01
-15	0.75	3.034301e+01
-15	0.8	3.098136e+01
-15	0.85	3.215274e+01
-15	0.9	3.067170e+01
-15	0.95	3.095121e+01
-15	1	3.321234e+01

-14	0	3.413079e+01
-14	0.05	3.497526e+01
-14	0.1	3.590407e+01
-14	0.15	3.368117e+01
-14	0.2	3.199555e+01
-14	0.25	2.982192e+01
-14	0.3	2.836954e+01
-14	0.35	2.633317e+01
-14	0.4	2.429753e+01
-14	0.45	2.389738e+01
-14	0.5	2.385792e+01
-14	0.55	2.361084e+01
-14	0.6	2.529273e+01
-14	0.65	2.534020e+01
-14	0.7	2.508392e+01
-14	0.75	2.462028e+01
-14	0.8	2.394613e+01
-14	0.85	2.541160e+01
-14	0.9	2.470050e+01
-14	0.95	2.392880e+01
-14	1	2.304057e+01

-13	0	3.086877e+01
-13	0.05	3.039169e+01
-13	0.1	3.295564e+01
-13	0.15	3.223987e+01
-13	0.2	2.801774e+01
-13	0.25	2.847090e+01
-13	0.3	2.387681e+01
-13	0.35	2.096228e+01
-13	0.4	2.155533e+01
-13	0.45	1.906845e+01
-13	0.5	2.075637e+01
-13	0.55	1.903915e+01
-13	0.6	2.045927e+01
-13	0.65	2.102733e+01
-13	0.7	1.969103e+01
-13	0.75	1.973520e+01
-13	0.8	1.968483e+01
-13	0.85	1.895344e+01
-13	0.9	1.889473e+01
-13	0.95	1.899225e+01
-13	1	1.967472e+01

-12	0	2.839701e+01
-12	0.05	2.796366e+01
-12	0.1	2.818167e+01
-12	0.15	2.747723e+01
-12	0.2	2.661187e+01
-12	0.25	2.326116e+01
-12	0.3	2.157893e+01
-12	0.35	1.656904e+01
-12	0.4	1.721263e+01
-12	0.45	1.551415e+01
-12	0.5	1.541754e+01
-12	0.55	1.480916e+01
-12	0.6	1.482652e+01
-12	0.65	1.639813e+01
-12	0.7	1.576828e+01
-12	0.75	1.738195e+01
-12	0.8	1.568829e+01
-12	0.85	1.713911e+01
-12	0.9	1.626725e+01
-12	0.95	1.620619e+01
-12	1	1.400984e+01

-11	0	2.504208e+01
-11	0.05	2.649967e+01
-11	0.1	2.546055e+01
-11	0.15	2.673495e+01
-11	0.2	2.350075e+01
-11	0.25	2.122773e+01
-11	0.3	1.722244e+01
-11	0.35	1.529300e+01
-11	0.4	1.494962e+01
-11	0.45	1.367617e+01
-11	0.5	1.284824e+01
-11	0.55	1.208997e+01
-11	0.6	1.281363e+01
-11	0.65	1.253553e+01
-11	0.7	1.249534e+01
-11	0.75	1.319244e+01
-11	0.8	1.315106e+01
-11	0.85	1.345746e+01
-11	0.9	1.255327e+01
-11	0.95	1.243708e+01
-11	1	1.252856e+01

-10	0	2.345980e+01
-10	0.05	2.463717e+01
-10	0.1	2.448759e+01
-10	0.15	2.318754e+01
-10	0.2	2.131237e+01
-10	0.25	1.882510e+01
-10	0.3	1.600361e+01
-10	0.35	1.427279e+01
-10	0.4	1.241679e+01
-10	0.45	1.094850e+01
-10	0.5	9.699333e+00
-10	0.55	9.516221e+00
-10	0.6	9.691473e+00
-10	0.65	1.044307e+01
-10	0.7	1.112766e+01
-10	0.75	1.040031e+01
-10	0.8	1.119990e+01
-10	0.85	1.054477e+01
-10	0.9	1.025674e+01
-10	0.95	1.022468e+01
-10	1	1.001931e+01

-9	0	2.170296e+01
-9	0.05	2.160612e+01
-9	0.1	2.241995e+01
-9	0.15	2.301426e+01
-9	0.2	1.960648e+01
-9	0.25	1.763200e+01
-9	0.3	1.544250e+01
-9	0.35	1.214278e+01
-9	0.4	1.030498e+01
-9	0.45	9.255411e+00
-9	0.5	7.804110e+00
-9	0.55	8.412093e+00
-9	0.6	8.397366e+00
-9	0.65	8.884936e+00
-9	0.7	8.643139e+00
-9	0.75	7.963464e+00
-9	0.8	8.911708e+00
-9	0.85	8.558379e+00
-9	0.9	8.453687e+00
-9	0.95	7.814148e+00
-9	1	8.472879e+00

-8	0	2.028620e+01
-8	0.05	2.173435e+01
-8	0.1	2.130439e+01
-8	0.15	1.967093e+01
-8	0.2	1.859834e+01
-8	0.25	1.619291e+01
-8	0.3	1.440669e+01
-8	0.35	1.049696e+01
-8	0.4	8.872704e+00
-8	0.45	8.097948e+00
-8	0.5	6.695334e+00
-8	0.55	6.731427e+00
-8	0.6	6.264353e+00
-8	0.65	7.035257e+00
-8	0.7	7.556135e+00
-8	0.75	7.366129e+00
-8	0.8	8.050309e+00
-8	0.85	7.151048e+00
-8	0.9	7.224388e+00
-8	0.95	6.807655e+00
-8	1	6.301508e+00

-7	0	1.903517e+01
-7	0.05	2.148704e+01
-7	0.1	2.001463e+01
-7	0.15	2.017149e+01
-7	0.2	1.695829e+01
-7	0.25	1.523800e+01
-7	0.3	1.210362e+01
-7	0.35	9.691511e+00
-7	0.4	7.327703e+00
-7	0.45	6.398380e+00
-7	0.5	5.392997e+00
-7	0.55	5.029649e+00
-7	0.6	5.467476e+00
-7	0.65	5.654758e+00
-7	0.7	5.848752e+00
-7	0.75	5.920068e+00
-7	0.8	5.618850e+00
-7	0.85	5.998530e+00
-7	0.9	5.848551e+00
-7	0.95	5.783205e+00
-7	1	5.558279e+00

-6	0	1.780454e+01
-6	0.05	1.938807e+01
-6	0.1	2.023946e+01
-6	0.15	1.860900e+01
-6	0.2	1.700809e+01
-6	0.25	1.427795e+01
-6	0.3	1.128001e+01
-6	0.35	9.298780e+00
-6	0.4	7.001197e+00
-6	0.45	5.617410e+00
-6	0.5	4.351613e+00
-6	0.55	4.407349e+00
-6	0.6	4.440753e+00
-6	0.65	4.525101e+00
-6	0.7	5.212178e+00
-6	0.75	5.403091e+00
-6	0.8	5.405836e+00
-6	0.85	4.612382e+00
-6	0.9	4.951635e+00
-6	0.95	4.282660e+00
-6	1	4.726352e+00

-5	0	1.780722e+01
-5	0.05	1.949770e+01
-5	0.1	1.994487e+01
-5	0.15	1.815994e+01
-5	0.2	1.627843e+01
-5	0.25	1.405928e+01
-5	0.3	1.057714e+01
-5	0.35	8.082379e+00
-5	0.4	6.065444e+00
-5	0.45	4.351773e+00
-5	0.5	4.073573e+00
-5	0.55	3.517076e+00
-5	0.6	3.835241e+00
-5	0.65	4.031011e+00
-5	0.7	4.411145e+00
-5	0.75	4.201396e+00
-5	0.8	4.493625e+00
-5	0.85	4.123297e+00
-5	0.9	3.792790e+00
-5	0.95	3.613349e+00
-5	1	3.677647e+00

-4	0	1.772994e+01
-4	0.05	1.844651e+01
-4	0.1	1.905114e+01
-4	0.15	1.783516e+01
-4	0.2	1.572176e+01
-4	0.25	1.309180e+01
-4	0.3	9.621856e+00
-4	0.35	7.567055e+00
-4	0.4	5.742148e+00
-4	0.45	4.112445e+00
-4	0.5	3.548011e+00
-4	0.55	2.913282e+00
-4	0.6	3.270707e+00
-4	0.65	3.294421e+00
-4	0.7	3.611401e+00
-4	0.75	4.271798e+00
-4	0.8	3.725328e+00
-4	0.85	3.679966e+00
-4	0.9	3.511900e+00
-4	0.95	3.206803e+00
-4	1	3.008742e+00

-3	0	1.674937e+01
-3	0.05	1.875355e+01
-3	0.1	1.874269e+01
-3	0.15	1.727273e+01
-3	0.2	1.531676e+01
-3	0.25	1.276939e+01
-3	0.3	9.767921e+00
-3	0.35	7.338341e+00
-3	0.4	5.105471e+00
-3	0.45	3.593646e+00
-3	0.5	2.797529e+00
-3	0.55	2.652918e+00
-3	0.6	2.791120e+00
-3	0.65	2.843605e+00
-3	0.7	3.349339e+00
-3	0.75	3.254660e+00
-3	0.8	3.233536e+00
-3	0.85	3.393555e+00
-3	0.9	2.966093e+00
-3	0.95	2.803875e+00
-3	1	2.468643e+00

-2	0	1.649941e+01
-2	0.05	1.807898e+01
-2	0.1	1.852257e+01
-2	0.15	1.726426e+01
-2	0.2	1.452810e+01
-2	0.25	1.221861e+01
-2	0.3	9.187373e+00
-2	0.35	6.971830e+00
-2	0.4	4.949290e+00
-2	0.45	3.435866e+00
-2	0.5	2.564829e+00
-2	0.55	2.297136e+00
-2	0.6	2.174906e+00
-2	0.65	2.463289e+00
-2	0.7	2.920196e+00
-2	0.75	2.968288e+00
-2	0.8	2.733851e+00
-2	0.85	2.662257e+00
-2	0.9	2.651895e+00
-2	0.95	2.239962e+00
-2	1	2.410928e+00

-1	0	1.623435e+01
-1	0.05	1.803004e+01
-1	0.1	1.780199e+01
-1	0.15	1.639056e+01
-1	0.2	1.458503e+01
-1	0.25	1.198709e+01
-1	0.3	9.011228e+00
-1	0.35	6.512484e+00
-1	0.4	4.457502e+00
-1	0.45	3.022224e+00
-1	0.5	2.312171e+00
-1	0.55	2.190622e+00
-1	0.6	2.021363e+00
-1	0.65	2.238260e+00
-1	0.7	2.372652e+00
-1	0.75	2.625439e+00
-1	0.8	2.575756e+00
-1	0.85	2.347671e+00
-1	0.9	2.222105e+00
-1	0.95	2.073978e+00
-1	1	1.947463e+00

0	0	1.579827e+01
0	0.05	1.729620e+01
0	0.1	1.743692e+01
0	0.15	1.650661e+01
0	0.2	1.442851e+01
0	0.25	1.164939e+01
0	0.3	8.920658e+00
0	0.35	6.241285e+00
0	0.4	4.166804e+00
0	0.45	2.963225e+00
0	0.5	2.180685e+00
0	0.55	1.741188e+00
0	0.6	1.645095e+00
0	0.65	2.015410e+00
0	0.7	2.166595e+00
0	0.75	2.427791e+00
0	0.8	2.350019e+00
0	0.85	2.315730e+00
0	0.9	2.017460e+00
0	0.95	1.898429e+00
0	1	1.764832e+00

1	0	1.588594e+01
1	0.05	1.743183e+01
1	0.1	1.726132e+01
1	0.15	1.602569e+01
1	0.2	1.420171e+01
1	0.25	1.174484e+01
1	0.3	8.657851e+00
1	0.35	6.086175e+00
1	0.4	4.108451e+00
1	0.45	2.617163e+00
1	0.5	1.781359e+00
1	0.55	1.562620e+00
1	0.6	1.539253e+00
1	0.65	1.730582e+00
1	0.7	2.010484e+00
1	0.75	2.240474e+00
1	0.8	2.067259e+00
1	0.85	1.994104e+00
