SNR_dB	RollOff	MSE
-10	0.05	3.634226e+01
-10	0.10	3.685119e+01
-10	0.15	3.706093e+01
-10	0.20	3.636544e+01
-10	0.25	3.591049e+01
-10	0.30	3.576827e+01
-10	0.35	3.810700e+01
-10	0.40	3.724652e+01
-10	0.45	3.578581e+01
-10	0.50	3.748063e+01
-10	0.55	3.594132e+01
-10	0.60	3.657114e+01
-10	0.65	3.819605e+01
-10	0.70	3.637172e+01
-10	0.75	3.896888e+01
-10	0.80	3.741569e+01
-10	0.85	3.665949e+01
-10	0.90	3.597342e+01
-10	0.95	3.663946e+01
-10	1.00	3.804039e+01

-9	0.00	2.770202e+01
-9	0.05	2.870106e+01
-9	0.10	3.102445e+01
-9	0.15	2.923235e+01
-9	0.20	2.869806e+01
-9	0.25	2.911848e+01
-9	0.30	3.055762e+01
-9	0.35	2.913671e+01
-9	0.40	2.899966e+01
-9	0.45	2.725714e+01
-9	0.50	2.936549e+01
-9	0.55	2.936369e+01
-9	0.60	3.000680e+01
-9	0.65	2.830451e+01
-9	0.70	2.944140e+01
-9	0.75	2.869337e+01
-9	0.80	2.800884e+01
-9	0.85	2.992064e+01
-9	0.90	2.962926e+01
-9	0.95	3.072308e+01
-9	1.00	2.859139e+01

-8	0.00	2.435775e+01
-8	0.05	2.330635e+01
-8	0.10	2.348362e+01
-8	0.15	2.270475e+01
-8	0.20	2.356846e+01
-8	0.25	2.338743e+01
-8	0.30	2.310618e+01
-8	0.35	2.314167e+01
-8	0.40	2.204603e+01
-8	0.45	2.328706e+01
-8	0.50	2.395576e+01
-8	0.55	2.315856e+01
-8	0.60	2.337759e+01
-8	0.65	2.315026e+01
-8	0.70	2.328805e+01
-8	0.75	2.292805e+01
-8	0.80	2.294716e+01
-8	0.85	2.320760e+01
-8	0.90	2.294462e+01
-8	0.95	2.319285e+01
-8	1.00	2.294253e+01

-7	0.00	1.944251e+01
-7	0.05	1.934412e+01
-7	0.10	1.834908e+01
-7	0.15	1.800230e+01
-7	0.20	1.870964e+01
-7	0.25	1.876154e+01
-7	0.30	1.926359e+01
-7	0.35	1.796688e+01
-7	0.40	1.864670e+01
-7	0.45	1.864486e+01
-7	0.50	1.943722e+01
-7	0.55	1.917217e+01
-7	0.60	1.915375e+01
-7	0.65	1.876233e+01
-7	0.70	1.834835e+01
-7	0.75	1.784491e+01
-7	0.80	1.887153e+01
-7	0.85	1.876765e+01
-7	0.90	1.827963e+01
-7	0.95	1.862010e+01
