SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
2	328710.743087825	326134.462745631	340523.270918187	355866.188728774	364958.169883586	369625.4912201	370583.335036168	370472.499283634	360574.549585971	361205.159261928	365488.940429386	366104.176402863	368431.833522081	364307.389273235	367171.71796852	360349.490399674	361278.651691966	362307.454783589	369275.385733935	367253.992212638	361671.315951648
3	360308.50208848	361431.077657514	365694.004036463	384250.672866363	403004.279610776	406772.984746594	403026.69178694	392245.685163547	396226.299058521	390322.710280909	391693.440193099	395500.210095061	397246.36752924	400290.87600298	392562.68533022	396732.327331348	394005.543652023	393705.31974049	397055.334638005	399132.010755407	396442.913116449
4	385407.00497515	385521.657753158	398778.685558658	418349.738479793	432033.526496766	440524.999248529	434480.052368906	428466.166259625	424376.445233356	425306.413407948	427864.349336723	433173.945390889	428577.21563351	426300.872571875	428779.373637481	422139.835323013	426130.601667118	429020.757669343	427162.589700651	429815.698071769	427860.681832469
5	417178.474050035	416660.322970183	437220.255677001	450845.342212366	464587.909744005	471909.64305167	470822.61083206	463136.246182174	456542.0831524	462556.438171323	464182.24184098	467749.073092815	468763.441661955	463988.441688728	457694.864984035	460930.128126687	460191.979276967	462246.754753758	463296.222837029	467529.082790318	461259.841344992
6	452801.911634635	448821.664313972	464688.182560821	485969.453892233	504410.150617988	509407.604068541	507643.664191752	499756.357416073	494290.21779739	492147.519870422	498977.952429014	501595.441552766	502761.036263117	499863.804348805	498442.428992124	495002.614503867	494058.033784062	500662.33068097	499886.329263703	501969.242808903	500447.146457773
7	479258.413426312	485522.410169375	504951.088934174	524865.297328767	543141.901370728	550897.272521788	544434.54417017	536167.570704721	530836.549424531	532176.774444207	538430.18919795	541411.273980895	541145.484912571	539185.219612536	534070.52704224	533053.070181387	539129.576866069	536472.706123996	536770.4849095	539471.567590937	535158.01493953
8	518739.154907293	521669.983285689	538438.996656135	561813.283487308	582905.882104694	588257.111419144	584455.622516469	576651.98931367	570480.434779112	576819.892697277	573914.25400985	576456.94175908	579535.977049004	577062.360680304	575222.921895382	571360.81767944	573243.800750847	579449.226917456	574479.708895249	579222.522261157	574293.71687562
9	555079.898445573	555003.426542027	575810.511110031	601725.356507555	624168.695466546	629360.983540805	626098.116012889	618153.224195904	609473.958273716	611514.247051158	614216.092864631	616114.328746237	620473.493245136	617822.160859179	616500.242862773	613913.068390876	613005.062592631	617511.367100867	618573.234311257	620547.823319866	613228.807760207
10	595287.39800286	593891.537997477	613357.273349868	642911.6585652	666057.007358315	669450.322879005	665444.643310082	656838.795231115	651964.598180173	649648.165653285	657558.641695259	660327.042130969	667246.930373207	662298.542868432	659044.596648649	655201.936941049	657425.157755961	658940.708990353	664313.426181222	662652.843858405	659254.206824974
11	634239.91399618	636466.443810054	656236.979697286	685590.785145014	711674.233602044	714548.299766741	709569.157239874	701474.459704265	698458.786502548	697085.962000946	701051.539483332	706760.146245541	710231.69852918	705890.415420895	701703.595984314	700717.360059078	700093.556981768	704213.312386133	705679.420307414	710103.332844893	704563.431030659
12	674451.997133938	675466.046338002	699133.065050839	728016.29714681	757969.86740155	762469.599245569	761482.430140682	747958.090794413	740155.324132185	738629.830162521	749964.591415294	749606.803728251	754047.031889866	746946.640928328	747427.944212277	743527.607634695	743817.986536677	749202.89699863	753748.133669725	750815.17479602	746851.719321985
13	716901.555909406	717182.555575211	746209.372801304	775569.572712853	802809.651765809	809702.341196661	808553.201343439	795463.307994856	789881.342147869	791244.650760745	793385.267640603	800916.167578662	800167.177791866	794661.858342765	791690.443880628	791901.084656544	789286.494647143	795007.808137249	797745.847137868	799036.504345441	793140.883119532
14	760415.548795754	758625.599834726	787163.328767195	823613.729097574	851250.332495141	861482.112652024	855411.208507329	844929.031901668	836104.205612881	835842.822986514	844942.864601323	849700.067927377	852538.947309918	844286.339948234	840958.882551786	837792.040079884	840090.608409289	844496.035538445	848194.938607618	848380.80913807	845640.379978992
15	805225.978759778	803993.088986214	830402.816266684	871941.806373453	901605.411971062	912264.331464163	904143.089359149	894533.579598133	886619.885493588	887184.903155506	894430.342594237	901543.104137244	897677.901352946	898058.611891889	893278.450835839	890763.234686827	891367.939338345	895253.306602591	896636.317883554	897816.771046425	894895.652724536
16	853131.085193265	851954.389704783	883000.639292348	920723.695845919	956521.406785775	965783.194757141	957018.772186203	944223.555643058	936339.920644238	937625.592491098	945291.504267249	950968.533936984	952044.987835574	950431.598334999	941557.788446259	939425.782931427	940762.747284459	947593.611203661	950729.444676472	951268.36330575	948066.10745542
17	902519.40025946	899569.160637793	932623.959752505	972770.618426556	1009099.26041782	1017310.50135264	1009571.27891419	996921.188940549	987799.313776464	990127.092647087	999027.562241666	1006458.68147799	1006369.83662722	1002515.19978581	995204.107181409	994204.176661795	994614.476566419	1001826.60864945	1003086.00170541	999773.458011427	1000484.15453853
18	947541.059098332	947561.693796856	983823.889856955	1028186.48888926	1063384.7767376	1075951.06606441	1064514.89935045	1052006.5454904	1042387.52698075	1045347.0692519	1051607.69197541	1058878.5740812	1059887.46119351	1056980.89701021	1049969.70415463	1047318.58003233	1047968.82008482	1053173.69542471	1057635.0028043	1059174.89535882	1053792.74296628
19	999392.276985502	999878.430250155	1034961.61763691	1082695.16372243	1120537.4724031	1132029.80147887	1125284.65897951	1108799.24693353	1098096.82011803	1099638.54864754	1106908.26339919	1113791.51121992	1116147.75867205	1111509.10029636	1107403.49751165	1102410.47567185	1105520.80077516	1111325.61572975	1114336.31688719	1113190.30410872	1110507.24377676
20	1052296.6565843	1051178.99040562	1089116.93925564	1140767.94338911	1178146.1966337	1191572.80684419	1180547.06040136	1167059.90158499	1156614.41621505	1157132.25229825	1166458.51274046	1172234.76581008	1174969.47569373	1171729.19984284	1163945.03596389	1161441.41349405	1161963.57801583	1167060.85869649	1172590.812312	1171032.09643863	1167344.02361559
