SNR_dB	aleph_array	mse_results
-20	0	7.325215e+02
-20	0.05	6.794946e+02
-20	0.1	7.394622e+02
-20	0.15	7.391328e+02
-20	0.2	7.693012e+02
-20	0.25	7.224225e+02
-20	0.3	7.114857e+02
-20	0.35	7.003335e+02
-20	0.4	8.040609e+02
-20	0.45	7.768424e+02
-20	0.5	7.543727e+02
-20	0.55	8.255820e+02
-20	0.6	7.459217e+02
-20	0.65	8.752525e+02
-20	0.7	8.761094e+02
-20	0.75	8.696851e+02
-20	0.8	8.130267e+02
-20	0.85	7.870106e+02
-20	0.9	8.098991e+02
-20	0.95	8.226486e+02
-20	1	8.395502e+02

-19	0	5.628610e+02
-19	0.05	5.846891e+02
-19	0.1	5.579524e+02
-19	0.15	5.867625e+02
-19	0.2	5.899164e+02
-19	0.25	5.942606e+02
-19	0.3	6.148435e+02
-19	0.35	5.335694e+02
-19	0.4	6.071363e+02
-19	0.45	6.032399e+02
-19	0.5	6.023070e+02
-19	0.55	6.719535e+02
-19	0.6	6.163850e+02
-19	0.65	6.259841e+02
-19	0.7	6.214203e+02
-19	0.75	6.504163e+02
-19	0.8	6.317900e+02
-19	0.85	6.511751e+02
-19	0.9	5.998481e+02
-19	0.95	6.989668e+02
-19	1	6.804451e+02

-18	0	4.450661e+02
-18	0.05	4.421967e+02
-18	0.1	4.309953e+02
-18	0.15	4.511902e+02
-18	0.2	4.838750e+02
-18	0.25	4.676955e+02
-18	0.3	4.358565e+02
-18	0.35	4.705167e+02
-18	0.4	4.797925e+02
-18	0.45	4.790063e+02
-18	0.5	5.420748e+02
-18	0.55	5.103198e+02
-18	0.6	5.522127e+02
-18	0.65	5.049050e+02
-18	0.7	5.125364e+02
-18	0.75	5.350703e+02
-18	0.8	5.349943e+02
-18	0.85	4.938758e+02
-18	0.9	4.905784e+02
-18	0.95	5.423475e+02
-18	1	5.150968e+02

-17	0	3.507489e+02
-17	0.05	3.695157e+02
-17	0.1	3.667749e+02
-17	0.15	3.679803e+02
-17	0.2	3.698263e+02
-17	0.25	3.856928e+02
-17	0.3	3.816213e+02
-17	0.35	3.937471e+02
-17	0.4	3.847597e+02
-17	0.45	4.133131e+02
-17	0.5	3.728811e+02
-17	0.55	4.192706e+02
-17	0.6	3.780037e+02
-17	0.65	4.262540e+02
-17	0.7	3.934911e+02
-17	0.75	3.979948e+02
-17	0.8	3.897299e+02
-17	0.85	4.263370e+02
-17	0.9	3.868341e+02
-17	0.95	4.098601e+02
-17	1	4.339697e+02

-16	0	3.061718e+02
-16	0.05	2.777561e+02
-16	0.1	2.851822e+02
-16	0.15	3.164943e+02
-16	0.2	2.973941e+02
-16	0.25	2.908523e+02
-16	0.3	3.001571e+02
-16	0.35	3.009333e+02
-16	0.4	2.906720e+02
-16	0.45	3.220911e+02
-16	0.5	3.044354e+02
-16	0.55	3.263868e+02
-16	0.6	3.561236e+02
-16	0.65	3.337081e+02
-16	0.7	3.182718e+02
-16	0.75	3.395057e+02
-16	0.8	3.156507e+02
-16	0.85	3.233040e+02
-16	0.9	3.246492e+02
-16	0.95	3.151965e+02
-16	1	3.275837e+02

-15	0	2.464792e+02
-15	0.05	2.298339e+02
-15	0.1	2.220634e+02
-15	0.15	2.376496e+02
-15	0.2	2.370023e+02
-15	0.25	2.290333e+02
-15	0.3	2.328995e+02
-15	0.35	2.359661e+02
-15	0.4	2.353790e+02
-15	0.45	2.491235e+02
-15	0.5	2.495147e+02
-15	0.55	2.461199e+02
-15	0.6	2.442052e+02
-15	0.65	2.621037e+02
-15	0.7	2.578747e+02
-15	0.75	2.422892e+02
-15	0.8	2.649981e+02
-15	0.85	2.504859e+02
-15	0.9	2.431627e+02
-15	0.95	2.589584e+02
-15	1	2.582086e+02

-14	0	1.934829e+02
-14	0.05	1.846166e+02
-14	0.1	1.906654e+02
-14	0.15	1.930058e+02
-14	0.2	1.913526e+02
-14	0.25	1.850026e+02
-14	0.3	1.963692e+02
-14	0.35	2.023542e+02
-14	0.4	1.951973e+02
-14	0.45	2.015387e+02
-14	0.5	1.942284e+02
-14	0.55	1.995927e+02
-14	0.6	2.047246e+02
-14	0.65	2.034647e+02
-14	0.7	1.940516e+02
-14	0.75	2.045683e+02
-14	0.8	2.052042e+02
-14	0.85	2.003049e+02
-14	0.9	2.071493e+02
-14	0.95	2.047267e+02
-14	1	2.069611e+02

-13	0	1.425852e+02
-13	0.05	1.602641e+02
-13	0.1	1.654657e+02
-13	0.15	1.725818e+02
-13	0.2	1.675034e+02
-13	0.25	1.508195e+02
-13	0.3	1.577285e+02
-13	0.35	1.463794e+02
-13	0.4	1.512332e+02
-13	0.45	1.536079e+02
-13	0.5	1.701081e+02
-13	0.55	1.781590e+02
-13	0.6	1.579920e+02
-13	0.65	1.658812e+02
-13	0.7	1.716785e+02
-13	0.75	1.686903e+02
-13	0.8	1.576187e+02
-13	0.85	1.618065e+02
-13	0.9	1.654730e+02
-13	0.95	1.632652e+02
-13	1	1.743199e+02

-12	0	1.297185e+02
-12	0.05	1.221462e+02
-12	0.1	1.186481e+02
-12	0.15	1.277621e+02
-12	0.2	1.130410e+02
-12	0.25	1.175102e+02
-12	0.3	1.281166e+02
-12	0.35	1.323424e+02
-12	0.4	1.202360e+02
-12	0.45	1.228667e+02
-12	0.5	1.248869e+02
-12	0.55	1.307996e+02
-12	0.6	1.324850e+02
-12	0.65	1.320016e+02
-12	0.7	1.348853e+02
-12	0.75	1.377762e+02
-12	0.8	1.312889e+02
-12	0.85	1.379241e+02
-12	0.9	1.222496e+02
-12	0.95	1.234276e+02
-12	1	1.332193e+02

-11	0	1.032604e+02
-11	0.05	1.019806e+02
-11	0.1	1.027983e+02
-11	0.15	9.279670e+01
-11	0.2	9.216751e+01
-11	0.25	9.975357e+01
-11	0.3	9.750209e+01
