75782.6214609618	-20
56928.8745500268	-19
47064.1413227661	-18
36932.7485031121	-17
29288.726602205	-16
22922.5623778468	-15
18284.229833118	-14
14043.7375356084	-13
10893.5016456603	-12
9383.08152024793	-11
7268.57297468172	-10
5660.4851827944	-9
4574.380263657  -8
3750.53342275868	-7
2972.28609028364	-6
2360.7656772513	-5
1817.95192076576	-4
1480.52935954145	-3
1150.22978937103	-2
933.531213528833	-1
755.276993030899	0
595.887604825214	1
454.066502560379	2
367.687032678005	3
287.595483714928	4
234.871849906704	5
179.601711832558	6
149.53833576713	7
111.41414569462	8
89.6994028023307	9
72.2106118480799	10
56.4499467741151	11
47.0549364358202	12
36.8810921418274	13
29.088824150628	14
22.8652081549653	15
18.963031400632	16
14.5179049075165	17
11.2397250072553	18
9.09414447196384	19
7.40048251552457	20
