SNR_dB	MSE_a_0	MSE_a_05	MSE_a_1	MSE_a_15	MSE_a_2	MSE_a_25	MSE_a_3	MSE_a_35	MSE_a_4	MSE_a_45	MSE_a_5	MSE_a_55	MSE_a_6	MSE_a_65	MSE_a_7	MSE_a_75	MSE_a_8	MSE_a_85	MSE_a_9	MSE_a_95	MSE_a_10
-20	351.907145807611	341.138337626133	349.247505690263	368.563171878851	354.72028578629	384.42982885446	361.125332560442	361.013792283724	362.607283819311	373.242566322392	360.044094064739	384.166219544441	360.05115400769	371.829552743134	360.352172707862	353.855150629793	364.261762033119	358.362841644249	368.064615116218	363.480370822002	366.404732658681
-19	1660.2443463595	1643.51321614905	1747.47001749887	1857.96485956835	1879.00334435516	1965.14973859201	1960.92517475775	1920.19772415577	1797.49607009369	1900.08824585738	1908.88300513204	1868.36600716733	1917.13343236422	1946.93635998826	1911.45590257123	1894.58325591844	1850.9596106932	1789.72545053506	1864.73501794377	1844.49249178178	1804.74440365998
-18	4480.41471299559	4507.20212540055	4520.25266368678	4748.5851575968	4973.52205868639	4938.89363289574	4917.1403865779	4978.83329421455	4960.84734166255	4962.20396669511	4955.14187145019	4775.8910451683	5109.5272229104	4877.67656037666	4900.75790887961	5012.12652646092	4882.2119955648	4821.60244043864	4949.94148614916	4981.77021274778	4980.12566292011
-17	8395.6464449326	8616.87905867156	8659.57705398853	9262.45211220298	9441.36206593066	9943.66643551459	9787.6547672669	9618.73996308286	9421.61798379016	9451.69308143235	9375.69751724398	9429.26832376279	9825.43474770073	9605.11164828502	9551.24115715198	9475.60553495699	9693.23617615856	9483.63254695651	9369.86993173661	9444.41930602972	9715.35102389706
-16	13664.1899200532	13647.8152827028	14048.6519482069	15285.5257825409	15641.84191002	15882.477599289	15558.4471938514	15241.0025334162	15373.9922100372	14971.2733107947	15061.3053660773	14898.2948054947	15034.3431462749	15294.5703064056	15093.8820464613	15305.2097459575	15205.8541786021	14976.1008164949	15709.9835665947	15193.4506419592	15449.1089510077
-15	19551.1464934041	20280.3431176613	21095.2834213597	22288.4893516522	22456.1068805841	22936.8355637678	22918.1797085923	22368.9503151058	22381.0935736396	22146.1391117884	22251.469723985	22405.9986608201	22523.49775042	22198.9418556143	22212.2140155738	21805.7379966449	22597.4334985043	21727.3083728481	21964.7069012446	22473.1981933068	22308.9431529357
-14	27692.5006146209	26926.1358506511	28806.1046986434	29660.5606733793	30958.1754466796	31736.3406477644	30912.5937430982	30306.339844888	30638.4995171226	30689.5434587193	30752.7254083155	29915.2530234312	31066.5802215442	29909.2670315382	31105.1717590584	30590.1973044798	30480.3487385243	31045.9387600318	30738.5326930468	30387.7107035799	31020.8382547398
-13	36294.1552254192	35564.0758867622	37050.9193794782	38282.6147251481	40326.8471665539	41679.7298885432	41129.9385494927	40626.0238126506	39750.1932199164	39849.5265939056	40480.3539494411	39843.9544611061	41713.8413566682	39690.2217974425	40523.9502322442	40697.281857961	40304.2625022977	40519.2991644204	39854.3997172603	39893.611720039	40107.7271683313
-12	46169.7981715684	45757.0816434299	47482.3415775948	49223.9890884327	52800.4168228247	52030.7608135921	51588.1382289869	50760.8258852003	51497.2984865793	51247.8951975334	51020.2192976509	50367.7243865899	51037.7483977628	50372.2349203898	50200.891732135	50149.6437352247	51113.2600335774	50892.5636499398	51704.9066569989	51570.1331821466	51543.626021416
-11	56093.5848613329	57180.600218775	58000.044821606	61870.8948153797	65235.6597074747	64382.5931388009	64620.2305376341	63673.1926973638	62270.0499041737	63315.5807305628	64895.976084371	64787.7176949141	65036.9292745494	64605.6703515958	64197.4010953545	64003.550026627	63602.969474719	63981.3523827197	64120.3211121537	64397.9000532477	62568.3153583732
