SNR_dB	aleph_array	mse_results
-20	0	5.834175e+03
-20	0.05	5.794436e+03
-20	0.1	6.797479e+03
-20	0.15	6.325097e+03
-20	0.2	6.555556e+03
-20	0.25	6.869516e+03
-20	0.3	6.645028e+03
-20	0.35	6.351984e+03
-20	0.4	6.567062e+03
-20	0.45	6.893421e+03
-20	0.5	6.970651e+03
-20	0.55	7.842431e+03
-20	0.6	6.798125e+03
-20	0.65	7.381820e+03
-20	0.7	7.367099e+03
-20	0.75	7.141043e+03
-20	0.8	7.305216e+03
-20	0.85	7.121932e+03
-20	0.9	7.189495e+03
-20	0.95	7.097351e+03
-20	1	7.049722e+03

-19	0	4.702218e+03
-19	0.05	4.948310e+03
-19	0.1	4.909312e+03
-19	0.15	5.221019e+03
-19	0.2	4.906163e+03
-19	0.25	5.364870e+03
-19	0.3	5.396573e+03
-19	0.35	5.395913e+03
-19	0.4	5.419481e+03
-19	0.45	5.875748e+03
-19	0.5	5.389968e+03
-19	0.55	5.768078e+03
-19	0.6	5.889753e+03
-19	0.65	5.450370e+03
-19	0.7	5.636172e+03
-19	0.75	5.792752e+03
-19	0.8	6.292383e+03
-19	0.85	6.013855e+03
-19	0.9	5.347336e+03
-19	0.95	5.924056e+03
-19	1	5.860763e+03

-18	0	4.185805e+03
-18	0.05	4.117794e+03
-18	0.1	4.302255e+03
-18	0.15	3.983409e+03
-18	0.2	4.028542e+03
-18	0.25	4.421582e+03
-18	0.3	4.123514e+03
-18	0.35	4.410833e+03
-18	0.4	4.264350e+03
-18	0.45	4.165798e+03
-18	0.5	4.689477e+03
-18	0.55	4.781344e+03
-18	0.6	4.386594e+03
-18	0.65	4.682645e+03
-18	0.7	4.380179e+03
-18	0.75	4.957982e+03
-18	0.8	4.586018e+03
-18	0.85	4.550184e+03
-18	0.9	4.377737e+03
-18	0.95	4.285213e+03
-18	1	4.421566e+03

-17	0	3.175155e+03
-17	0.05	3.296230e+03
-17	0.1	3.248903e+03
-17	0.15	3.030141e+03
-17	0.2	3.111579e+03
-17	0.25	3.426865e+03
-17	0.3	3.721130e+03
-17	0.35	3.448475e+03
-17	0.4	3.358829e+03
-17	0.45	3.421150e+03
-17	0.5	3.562840e+03
-17	0.55	3.487613e+03
-17	0.6	3.953245e+03
-17	0.65	3.520494e+03
-17	0.7	3.498304e+03
-17	0.75	4.009574e+03
-17	0.8	3.556836e+03
-17	0.85	3.714780e+03
-17	0.9	3.655437e+03
-17	0.95	3.405681e+03
-17	1	3.706577e+03

-16	0	2.299445e+03
-16	0.05	2.489908e+03
-16	0.1	2.352519e+03
-16	0.15	2.476971e+03
-16	0.2	2.549169e+03
-16	0.25	2.586897e+03
-16	0.3	2.477201e+03
-16	0.35	2.620663e+03
-16	0.4	2.800952e+03
-16	0.45	2.730687e+03
-16	0.5	2.917996e+03
-16	0.55	2.900811e+03
-16	0.6	2.828270e+03
-16	0.65	2.943917e+03
-16	0.7	3.134921e+03
-16	0.75	3.033526e+03
-16	0.8	2.951733e+03
-16	0.85	3.017833e+03
-16	0.9	3.040178e+03
-16	0.95	2.906645e+03
-16	1	2.888749e+03

-15	0	1.923865e+03
-15	0.05	1.969863e+03
-15	0.1	1.972357e+03
-15	0.15	2.114217e+03
-15	0.2	2.002354e+03
-15	0.25	2.125082e+03
-15	0.3	2.018650e+03
-15	0.35	2.046534e+03
-15	0.4	2.219721e+03
-15	0.45	2.352412e+03
-15	0.5	2.226386e+03
-15	0.55	2.244933e+03
-15	0.6	2.303524e+03
-15	0.65	2.393673e+03
-15	0.7	2.191730e+03
-15	0.75	2.266906e+03
-15	0.8	2.178553e+03
-15	0.85	2.204340e+03
-15	0.9	2.416631e+03
-15	0.95	2.288225e+03
-15	1	2.401610e+03

-14	0	1.546180e+03
-14	0.05	1.592324e+03
-14	0.1	1.645999e+03
-14	0.15	1.620054e+03
-14	0.2	1.605956e+03
-14	0.25	1.648860e+03
-14	0.3	1.715819e+03
-14	0.35	1.682268e+03
-14	0.4	1.791354e+03
-14	0.45	1.826178e+03
-14	0.5	1.750215e+03
-14	0.55	1.992733e+03
-14	0.6	1.793311e+03
-14	0.65	1.954727e+03
-14	0.7	1.793961e+03
-14	0.75	1.859692e+03
-14	0.8	1.976202e+03
-14	0.85	1.974954e+03
-14	0.9	1.861880e+03
-14	0.95	1.726468e+03
-14	1	1.914185e+03

-13	0	1.369717e+03
-13	0.05	1.236862e+03
-13	0.1	1.230600e+03
-13	0.15	1.241076e+03
