SNR_dB	aleph_array	mse_results
-20	0	1.780592e+02
-20	0.05	1.756917e+02
-20	0.1	1.677538e+02
-20	0.15	1.723230e+02
-20	0.2	1.837677e+02
-20	0.25	1.587393e+02
-20	0.3	1.763774e+02
-20	0.35	1.782719e+02
-20	0.4	1.645656e+02
-20	0.45	1.868507e+02
-20	0.5	1.883182e+02
-20	0.55	1.945969e+02
-20	0.6	1.881977e+02
-20	0.65	1.776270e+02
-20	0.7	1.999894e+02
-20	0.75	1.975357e+02
-20	0.8	1.832269e+02
-20	0.85	1.906469e+02
-20	0.9	1.851759e+02
-20	0.95	1.854071e+02
-20	1	1.940419e+02

-19	0	1.449048e+02
-19	0.05	1.438048e+02
-19	0.1	1.448419e+02
-19	0.15	1.263221e+02
-19	0.2	1.347056e+02
-19	0.25	1.423674e+02
-19	0.3	1.435259e+02
-19	0.35	1.410082e+02
-19	0.4	1.445142e+02
-19	0.45	1.409985e+02
-19	0.5	1.463262e+02
-19	0.55	1.409776e+02
-19	0.6	1.456492e+02
-19	0.65	1.510389e+02
-19	0.7	1.532616e+02
-19	0.75	1.499383e+02
-19	0.8	1.421121e+02
-19	0.85	1.483668e+02
-19	0.9	1.414895e+02
-19	0.95	1.565796e+02
-19	1	1.527675e+02

-18	0	1.107403e+02
-18	0.05	1.109333e+02
-18	0.1	1.243297e+02
-18	0.15	1.124037e+02
-18	0.2	1.126945e+02
-18	0.25	1.137937e+02
-18	0.3	1.078317e+02
-18	0.35	1.020117e+02
-18	0.4	1.147420e+02
-18	0.45	1.147651e+02
-18	0.5	1.112886e+02
-18	0.55	1.190300e+02
-18	0.6	1.223887e+02
-18	0.65	1.073544e+02
-18	0.7	1.252722e+02
-18	0.75	1.134871e+02
-18	0.8	1.217868e+02
-18	0.85	1.264089e+02
-18	0.9	1.216167e+02
-18	0.95	1.148894e+02
-18	1	1.176641e+02

-17	0	9.432077e+01
-17	0.05	8.574944e+01
-17	0.1	9.583799e+01
-17	0.15	9.906282e+01
-17	0.2	9.712010e+01
-17	0.25	9.727451e+01
-17	0.3	9.406183e+01
-17	0.35	9.172420e+01
-17	0.4	9.054401e+01
-17	0.45	8.778189e+01
-17	0.5	9.386211e+01
-17	0.55	8.976356e+01
