SNR_dB	aleph_array	mse_results
-20	0	1.618059e+03
-20	0.05	1.457572e+03
-20	0.1	1.602820e+03
-20	0.15	1.618687e+03
-20	0.2	1.639521e+03
-20	0.25	1.685435e+03
-20	0.3	1.585056e+03
-20	0.35	1.669744e+03
-20	0.4	1.819652e+03
-20	0.45	1.590865e+03
-20	0.5	1.797827e+03
-20	0.55	1.636979e+03
-20	0.6	1.860325e+03
-20	0.65	1.948058e+03
-20	0.7	2.073583e+03
-20	0.75	1.988165e+03
-20	0.8	1.923292e+03
-20	0.85	1.838788e+03
-20	0.9	1.842333e+03
-20	0.95	1.701627e+03
-20	1	1.804224e+03

-19	0	1.166243e+03
-19	0.05	1.162664e+03
-19	0.1	1.308306e+03
-19	0.15	1.125604e+03
-19	0.2	1.269922e+03
-19	0.25	1.227897e+03
-19	0.3	1.252978e+03
-19	0.35	1.415160e+03
-19	0.4	1.402637e+03
-19	0.45	1.351701e+03
-19	0.5	1.461584e+03
-19	0.55	1.463078e+03
-19	0.6	1.366771e+03
-19	0.65	1.526185e+03
-19	0.7	1.523196e+03
-19	0.75	1.517147e+03
-19	0.8	1.575297e+03
-19	0.85	1.472149e+03
-19	0.9	1.387467e+03
-19	0.95	1.470052e+03
-19	1	1.415232e+03

-18	0	1.024760e+03
-18	0.05	1.055200e+03
-18	0.1	9.892983e+02
-18	0.15	1.020883e+03
-18	0.2	1.038762e+03
-18	0.25	1.024034e+03
-18	0.3	9.724248e+02
-18	0.35	1.020202e+03
-18	0.4	1.025092e+03
-18	0.45	1.068305e+03
-18	0.5	1.140167e+03
-18	0.55	1.176129e+03
-18	0.6	1.153064e+03
-18	0.65	1.174258e+03
-18	0.7	1.169555e+03
-18	0.75	1.188321e+03
-18	0.8	1.309936e+03
-18	0.85	1.114229e+03
-18	0.9	1.145617e+03
-18	0.95	1.171968e+03
-18	1	1.169053e+03

-17	0	7.889188e+02
-17	0.05	8.254096e+02
-17	0.1	8.070753e+02
-17	0.15	8.031967e+02
-17	0.2	7.923413e+02
-17	0.25	8.582212e+02
-17	0.3	8.715169e+02
-17	0.35	8.412186e+02
-17	0.4	8.490930e+02
-17	0.45	8.596480e+02
-17	0.5	8.725596e+02
-17	0.55	8.826867e+02
-17	0.6	9.315822e+02
-17	0.65	9.858935e+02
-17	0.7	9.777266e+02
-17	0.75	9.103215e+02
-17	0.8	9.450018e+02
-17	0.85	8.886069e+02
-17	0.9	9.636586e+02
-17	0.95	9.159734e+02
-17	1	9.481293e+02

-16	0	6.642671e+02
-16	0.05	7.171816e+02
-16	0.1	7.268039e+02
-16	0.15	5.981721e+02
-16	0.2	6.579209e+02
-16	0.25	6.233783e+02
-16	0.3	6.630570e+02
-16	0.35	6.674307e+02
-16	0.4	6.551160e+02
-16	0.45	6.861378e+02
-16	0.5	7.438123e+02
-16	0.55	7.290317e+02
-16	0.6	7.571148e+02
-16	0.65	7.310875e+02
-16	0.7	7.156532e+02
-16	0.75	8.011911e+02
-16	0.8	7.893069e+02
-16	0.85	7.095599e+02
-16	0.9	7.319910e+02
-16	0.95	7.431960e+02
-16	1	7.564160e+02

-15	0	5.217175e+02
-15	0.05	5.114434e+02
-15	0.1	4.963551e+02
-15	0.15	4.963992e+02
-15	0.2	5.128102e+02
-15	0.25	5.257764e+02
-15	0.3	4.993519e+02
-15	0.35	5.527508e+02
-15	0.4	5.435197e+02
-15	0.45	5.301687e+02
-15	0.5	5.726221e+02
-15	0.55	5.379199e+02
-15	0.6	5.533403e+02
-15	0.65	5.326840e+02
-15	0.7	6.268962e+02
-15	0.75	6.307317e+02
-15	0.8	5.610280e+02
-15	0.85	5.818953e+02
-15	0.9	5.714745e+02
-15	0.95	5.736019e+02
-15	1	6.189728e+02

-14	0	4.023270e+02
-14	0.05	3.715684e+02
-14	0.1	3.897077e+02
-14	0.15	3.903137e+02
-14	0.2	4.192179e+02
-14	0.25	4.009165e+02
-14	0.3	4.014092e+02
-14	0.35	4.623147e+02
-14	0.4	4.354051e+02
-14	0.45	4.475235e+02
-14	0.5	4.699140e+02
-14	0.55	4.754323e+02
-14	0.6	4.555357e+02
-14	0.65	4.693285e+02
-14	0.7	4.378619e+02
-14	0.75	4.583056e+02
-14	0.8	4.804766e+02
-14	0.85	4.614734e+02
-14	0.9	4.566020e+02
-14	0.95	4.774313e+02
-14	1	4.399712e+02

-13	0	3.219843e+02
-13	0.05	3.460809e+02
-13	0.1	3.281675e+02
-13	0.15	3.289392e+02
-13	0.2	3.296182e+02
-13	0.25	3.308706e+02
-13	0.3	3.187182e+02
-13	0.35	3.350912e+02
-13	0.4	3.494230e+02
-13	0.45	3.747379e+02
-13	0.5	3.635284e+02
-13	0.55	3.795443e+02
-13	0.6	3.652562e+02
-13	0.65	3.858794e+02
-13	0.7	3.398159e+02
-13	0.75	3.877448e+02
-13	0.8	3.884335e+02
-13	0.85	3.694919e+02
-13	0.9	3.712777e+02
-13	0.95	3.791347e+02
-13	1	3.682188e+02

-12	0	2.457979e+02
-12	0.05	2.643806e+02
-12	0.1	2.564301e+02
-12	0.15	2.542362e+02
-12	0.2	2.719304e+02
-12	0.25	2.548371e+02
-12	0.3	2.655066e+02
-12	0.35	2.611939e+02
-12	0.4	2.776615e+02
-12	0.45	2.654794e+02
-12	0.5	2.766739e+02
-12	0.55	2.962164e+02
-12	0.6	2.873254e+02
-12	0.65	3.083309e+02
-12	0.7	2.889069e+02
-12	0.75	2.963332e+02
-12	0.8	3.016190e+02
-12	0.85	3.023182e+02
-12	0.9	3.158461e+02
-12	0.95	3.024976e+02
-12	1	2.986612e+02

-11	0	2.358465e+02
-11	0.05	2.128428e+02
-11	0.1	2.194880e+02
-11	0.15	2.142597e+02
-11	0.2	2.072272e+02
-11	0.25	2.060961e+02
-11	0.3	2.145032e+02
-11	0.35	2.222638e+02
-11	0.4	2.251877e+02
-11	0.45	2.207499e+02
-11	0.5	2.264895e+02
-11	0.55	2.253651e+02
-11	0.6	2.468639e+02
-11	0.65	2.320686e+02
-11	0.7	2.624016e+02
-11	0.75	2.305975e+02
-11	0.8	2.517185e+02
-11	0.85	2.181758e+02
-11	0.9	2.263199e+02
-11	0.95	2.152720e+02
-11	1	2.161767e+02

-10	0	1.718815e+02
-10	0.05	1.701660e+02
-10	0.1	1.719779e+02
-10	0.15	1.889029e+02
-10	0.2	1.685739e+02
-10	0.25	1.653843e+02
-10	0.3	1.687323e+02
-10	0.35	1.665513e+02
-10	0.4	1.719271e+02
-10	0.45	1.866211e+02
-10	0.5	1.897248e+02
-10	0.55	1.805525e+02
-10	0.6	1.834676e+02
-10	0.65	1.774776e+02
-10	0.7	1.868854e+02
-10	0.75	1.833376e+02
-10	0.8	1.896847e+02
-10	0.85	1.777673e+02
-10	0.9	1.812907e+02
-10	0.95	1.797115e+02
-10	1	1.796796e+02

-9	0	1.318931e+02
-9	0.05	1.358011e+02
-9	0.1	1.378567e+02
-9	0.15	1.391159e+02
-9	0.2	1.429858e+02
-9	0.25	1.300714e+02
-9	0.3	1.389771e+02
-9	0.35	1.402575e+02
-9	0.4	1.438804e+02
-9	0.45	1.494943e+02
-9	0.5	1.432659e+02
-9	0.55	1.441991e+02
-9	0.6	1.454815e+02
-9	0.65	1.500153e+02
-9	0.7	1.576901e+02
-9	0.75	1.422494e+02
-9	0.8	1.456972e+02
-9	0.85	1.496141e+02
-9	0.9	1.443771e+02
-9	0.95	1.375905e+02
-9	1	1.431773e+02

-8	0	1.184716e+02
-8	0.05	1.166842e+02
-8	0.1	1.090319e+02
-8	0.15	1.102541e+02
-8	0.2	1.096418e+02
-8	0.25	1.138738e+02
-8	0.3	1.059540e+02
-8	0.35	1.115476e+02
-8	0.4	1.153854e+02
-8	0.45	1.112182e+02
-8	0.5	9.913192e+01
-8	0.55	1.223937e+02
-8	0.6	1.154294e+02
-8	0.65	1.218475e+02
-8	0.7	1.251058e+02
-8	0.75	1.272765e+02
-8	0.8	1.268275e+02
-8	0.85	1.251849e+02
-8	0.9	1.165168e+02
-8	0.95	1.215981e+02
-8	1	1.245414e+02

-7	0	8.887757e+01
-7	0.05	9.615102e+01
-7	0.1	8.931247e+01
-7	0.15	9.544617e+01
-7	0.2	9.673838e+01
-7	0.25	9.141844e+01
-7	0.3	9.174943e+01
-7	0.35	9.238902e+01
-7	0.4	9.128223e+01
-7	0.45	8.232491e+01
-7	0.5	9.511607e+01
-7	0.55	9.182431e+01
-7	0.6	8.988807e+01
-7	0.65	9.649244e+01
-7	0.7	9.214100e+01
-7	0.75	8.911195e+01
-7	0.8	9.596743e+01
-7	0.85	8.811072e+01
-7	0.9	8.760370e+01
-7	0.95	9.261842e+01
-7	1	9.728837e+01

-6	0	7.806569e+01
-6	0.05	7.908004e+01
-6	0.1	7.783135e+01
-6	0.15	7.698031e+01
-6	0.2	7.493326e+01
-6	0.25	7.670985e+01
-6	0.3	7.674648e+01
-6	0.35	7.140404e+01
-6	0.4	7.170790e+01
